phylum,all_taxa_marine_non_fossil,all_species_marine_non_fossil,accepted_species_marine_non_fossil,accepted_species_non_marine_non_fossil,checked_taxa
Acanthocephala,807,647,517,1,807
Annelida,27074,22907,13050,167,26664
Arthropoda,103434,84616,56702,29706,101461
Brachiopoda,924,668,422,0,0
Bryozoa,9347,7620,6160,80,9241
Cephalorhyncha,485,412,236,0,445
Chaetognatha,355,291,131,0,355
Chordata,74673,62206,23043,12487,73860
Cnidaria,26409,22086,11556,18,25664
Ctenophora,433,285,200,0,429
Cycliophora,6,2,2,0,6
Dicyemida,151,134,122,0,144
Echinodermata,21480,17198,7313,3,21473
Entoprocta,250,227,188,2,250
Gastrotricha,765,651,502,332,764
Gnathostomulida,155,113,101,0,155
Hemichordata,201,156,130,0,197
Mollusca,134591,112716,47329,6786,127904
Nematoda,11517,9660,6891,816,11054
Nematomorpha,12,5,5,0,7
Nemertea,3314,2711,1368,4,3150
Orthonectida,51,40,25,0,42
Phoronida,57,49,11,0,0
Placozoa,6,3,1,0,6
Platyhelminthes,24899,19598,12686,2930,24862
Porifera,21705,18261,8626,225,21704
Rotifera,375,230,201,84,369
Sipuncula,1663,1294,156,0,1648
Tardigrada,362,224,208,1019,357
Xenacoelomorpha,902,706,454,2,899
