"kingdom","phylum","all_taxa_marine_non_fossil","all_species_marine_non_fossil","accepted_species_marine_non_fossil","accepted_species_non_marine_non_fossil","checked_taxa"
"Animalia","Acanthocephala",814,652,522,1,814
"Animalia","Annelida",29105,24606,13953,181,28753
"Animalia","Arthropoda",104252,85328,57099,29747,102283
"Animalia","Brachiopoda",929,672,426,0,0
"Animalia","Bryozoa",9501,7774,6108,93,9409
"Animalia","Cephalorhyncha",485,412,236,0,445
"Animalia","Chaetognatha",355,291,131,0,355
"Animalia","Chordata",71959,59539,22831,12702,71142
"Animalia","Cnidaria",26578,22226,11645,18,25916
"Animalia","Ctenophora",433,285,200,0,429
"Animalia","Cycliophora",6,2,2,0,6
"Animalia","Dicyemida",151,134,122,0,144
"Animalia","Echinodermata",21519,17223,7332,3,21512
"Animalia","Entoprocta",255,230,190,2,255
"Animalia","Gastrotricha",765,651,502,333,764
"Animalia","Gnathostomulida",155,113,101,0,155
"Animalia","Hemichordata",201,156,130,0,197
"Animalia","Mollusca",135622,113542,47472,7128,129170
"Animalia","Nematoda",11578,9714,6937,816,11118
"Animalia","Nematomorpha",12,5,5,0,7
"Animalia","Nemertea",3317,2714,1368,4,3154
"Animalia","Orthonectida",51,40,25,0,42
"Animalia","Phoronida",57,49,11,0,0
"Animalia","Placozoa",6,3,1,0,6
"Animalia","Platyhelminthes",25265,19900,12833,2929,25229
"Animalia","Porifera",21878,18408,8654,225,21877
"Animalia","Rotifera",375,230,201,85,369
"Animalia","Sipuncula",1663,1294,156,0,1648
"Animalia","Tardigrada",363,225,209,1019,358
"Animalia","Xenacoelomorpha",902,706,454,2,899
"Plantae","Anthocerotophyta",10,0,0,0,0
"Plantae","Bryophyta",90,11,11,11,11
"Plantae","Charophyta",821,396,322,5795,529
"Plantae","Chlorophyta",8652,5275,3249,4349,6708
"Plantae","Glaucophyta",15,4,4,14,15
"Plantae","Marchantiophyta",24,0,0,1,1
"Plantae","Plantae incertae sedis",345,86,59,18,215
"Plantae","Pteridophyta",3,0,0,0,3
"Plantae","Rhodophyta",20172,15950,8174,373,18455
"Plantae","Tracheophyta",1036,434,313,394,230
"Fungi","Ascomycota",2574,1521,1202,24,2562
"Fungi","Basidiomycota",307,120,118,26,305
"Fungi","Chytridiomycota",84,41,33,2,83
"Fungi","Glomeromycota",9,2,2,0,9
"Fungi","Microsporidia",451,306,270,13,451
"Fungi","Zygomycota",45,16,16,1,45
"Protozoa","Amoebozoa",418,139,120,12,193
"Protozoa","Apusozoa",15,4,2,0,15
"Protozoa","Choanozoa",351,239,198,38,284
"Protozoa","Euglenozoa",1775,1603,1528,701,938
"Protozoa","Loukozoa",11,2,2,0,11
"Protozoa","Metamonada",72,34,31,10,30
"Protozoa","Percolozoa",52,27,25,1,37
"Protozoa","Picozoa",6,1,1,0,2
"Bacteria","Acidobacteria",9,1,1,0,0
"Bacteria","Actinobacteria",267,74,74,1,0
"Bacteria","Aquificae",28,15,15,0,0
"Bacteria","Bacteria incertae sedis",44,15,15,35,10
"Bacteria","Bacteroidetes",426,236,236,0,0
"Bacteria","Caldiserica",5,1,1,0,0
"Bacteria","Chlamydiae",8,0,0,0,0
"Bacteria","Chlorobi",17,9,9,2,1
"Bacteria","Chloroflexi",37,4,4,0,0
"Bacteria","Cyanobacteria",2077,1283,812,3400,1899
"Bacteria","Deferribacteres",12,5,5,0,0
"Bacteria","Deinococcus-Thermus",17,4,4,0,0
"Bacteria","Elusimicrobia",4,0,0,0,0
"Bacteria","Fibrobacteres",4,0,0,0,0
"Bacteria","Firmicutes",297,99,99,2,0
"Bacteria","Fusobacteria",26,15,15,0,0
"Bacteria","Gemmatimonadetes",4,0,0,0,0
"Bacteria","Lentisphaerae",4,1,1,0,0
"Bacteria","Nitrospirae",7,1,1,0,0
"Bacteria","Planctomycetes",18,5,5,0,0
"Bacteria","Proteobacteria",1541,829,802,5,6
"Bacteria","Spirochaetes",10,1,1,0,0
"Bacteria","Synergistetes",12,3,3,0,0
"Bacteria","Tenericutes",19,3,2,0,0
"Bacteria","Thermodesulfobacteria",7,2,2,0,0
"Bacteria","Thermotogae",23,13,13,0,0
"Bacteria","Verrucomicrobia",46,25,25,0,0
"Chromista","Bigyra",186,102,83,39,166
"Chromista","Cercozoa",523,301,247,6,468
"Chromista","Ciliophora",4939,3815,2687,338,3760
"Chromista","Cryptophyta",325,243,184,62,250
"Chromista","Foraminifera",17530,13652,8942,1,17530
"Chromista","Haptophyta",919,542,369,14,816
"Chromista","Heliozoa",24,10,10,0,9
"Chromista","Myzozoa",6279,4848,3236,319,4697
"Chromista","Ochrophyta",66821,36687,8038,5506,9009
"Chromista","Oomycota",133,66,48,1,128
"Chromista","Radiozoa",980,607,449,0,678
"Archaea","Crenarchaeota",48,19,19,0,0
"Archaea","Euryarchaeota",173,97,97,1,0
"Archaea","Thaumarchaeota",9,2,2,0,0
"Viruses","NA",686,110,110,20,571
"Biota incertae sedis","NA",37,10,10,0,6
