Species number,Scientific name,Kingdom,Phylum,Subphylum,Class,Subclass,Infraclass,Superorder,Order,Suborder,Infraorder,Section,Subsection,Superfamily,Above family,Family,Subfamily,Tribe,Supergenus,Genus,Subgenus,Species,Subspecies,Synonyms,Scientific name author,Habitat-Biology,Overall geographic range,Min depth (m),Max depth (m),Polygon,Source,References,Endnotes,Author,Year,Changes from the book,URL
Spp-28-0004,Caballerorhynchus lamothei,Animalia,Acanthocephala,,Palaeacanthocephala,,,,Echinorhynchida,,,,,,,Cavisomidae,,,,Caballerorhynchus,,lamothei,,,"Salgado-Maldonado,",parasitic,Coastal waters and tidal wetlands southwest Gulf of Mexico,,,E1; E2; E3; E4; E5; E6,"Salgado-Maldonado, G. and O. M. Amin. 2009. Acanthocephala of the Gulf of Mexico, Pp. 539–552 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",111,1,Salgado-Maldonado,1977,"Added keyword ""parasitic""",http://gulfbase.org/biogomx/biospecies.php?species=Spp-28-0004
Spp-28-0005,Caballerorhynchus lamothei,Animalia,Acanthocephala,,Palaeacanthocephala,,,,Echinorhynchida,,,,,,,Cavisomidae,,,,Caballerorhynchus,,lamothei,,,"Salgado-Maldonado,",parasitic,Coastal waters and tidal wetlands southwest Gulf of Mexico,,,E1; E2; E3; E4; E5; E6,"Salgado-Maldonado, G. and O. M. Amin. 2009. Acanthocephala of the Gulf of Mexico, Pp. 539–552 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",103,,Salgado-Maldonado,1977,"Added keyword ""parasitic""",http://gulfbase.org/biogomx/biospecies.php?species=Spp-28-0005
Spp-28-0006,Caballerorhynchus lamothei,Animalia,Acanthocephala,,Palaeacanthocephala,,,,Echinorhynchida,,,,,,,Cavisomidae,,,,Caballerorhynchus,,lamothei,,,"Salgado-Maldonado,",parasitic,Coastal waters and tidal wetlands southwest Gulf of Mexico,,,E1; E2; E3; E4; E5; E6,"Salgado-Maldonado, G. and O. M. Amin. 2009. Acanthocephala of the Gulf of Mexico, Pp. 539–552 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",57,2,Salgado-Maldonado,1977,"Added keyword ""parasitic""",http://gulfbase.org/biogomx/biospecies.php?species=Spp-28-0006
Spp-28-0007,Filisoma fidum,Animalia,Acanthocephala,,Palaeacanthocephala,,,,Echinorhynchida,,,,,,,Cavisomidae,,,,Filisoma,,fidum,,,"Van Cleave and Manter,",parasitic; endemic to Gulf of Mexico,Known only from Dry Tortugas Florida,,,C1; C2; C3; C4; C5; C6,"Salgado-Maldonado, G. and O. M. Amin. 2009. Acanthocephala of the Gulf of Mexico, Pp. 539–552 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",152,,Van Cleave & Manter,1947,"Added keyword ""endemic to Gulf of Mexico"" and ""parasitic""",http://gulfbase.org/biogomx/biospecies.php?species=Spp-28-0007
Spp-28-0009,Dollfusentis bravoae,Animalia,Acanthocephala,,Palaeacanthocephala,,,,Echinorhynchida,,,,,,,Illiosentidae,,,,Dollfusentis,,bravoae,,,"Salgado-Maldonado,",parasitic; endemic to Gulf of Mexico,Recorded only from southwest Gulf of Mexico,,,E1; E2; E3; E4; E5; E6,"Salgado-Maldonado, G. and O. M. Amin. 2009. Acanthocephala of the Gulf of Mexico, Pp. 539–552 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",110,,Salgado-Maldonado,1976,"Added keyword ""endemic to Gulf of Mexico"" and ""parasitic""",http://gulfbase.org/biogomx/biospecies.php?species=Spp-28-0009
Spp-28-0010,Dollfusentis chandleri,Animalia,Acanthocephala,,Palaeacanthocephala,,,,Echinorhynchida,,,,,,,Illiosentidae,,,,Dollfusentis,,chandleri,,,"Golvan,",parasitic,"Woods Hole, Massachusetts to Brazil",,,G1; G2; G3; G4; G5; G6,"Salgado-Maldonado, G. and O. M. Amin. 2009. Acanthocephala of the Gulf of Mexico, Pp. 539–552 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","9, 35, 41, 80, 100, 139, 144",,Golvan,1969,"Added keyword ""parasitic""",http://gulfbase.org/biogomx/biospecies.php?species=Spp-28-0010
Spp-28-0011,Dollfusentis chandleri,Animalia,Acanthocephala,,Palaeacanthocephala,,,,Echinorhynchida,,,,,,,Illiosentidae,,,,Dollfusentis,,chandleri,,,"Golvan,",parasitic,"Woods Hole, Massachusetts to Brazil",,,G1; G2; G3; G4; G5; G6,"Salgado-Maldonado, G. and O. M. Amin. 2009. Acanthocephala of the Gulf of Mexico, Pp. 539–552 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",136,,Golvan,1969,"Added keyword ""parasitic""",http://gulfbase.org/biogomx/biospecies.php?species=Spp-28-0011
Spp-28-0012,Dollfusentis chandleri,Animalia,Acanthocephala,,Palaeacanthocephala,,,,Echinorhynchida,,,,,,,Illiosentidae,,,,Dollfusentis,,chandleri,,,"Golvan,",parasitic,"Woods Hole, Massachusetts to Brazil",,,G1; G2; G3; G4; G5; G6,"Salgado-Maldonado, G. and O. M. Amin. 2009. Acanthocephala of the Gulf of Mexico, Pp. 539–552 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",24,,Golvan,1969,"Added keyword ""parasitic""",http://gulfbase.org/biogomx/biospecies.php?species=Spp-28-0012
Spp-28-0013,Dollfusentis chandleri,Animalia,Acanthocephala,,Palaeacanthocephala,,,,Echinorhynchida,,,,,,,Illiosentidae,,,,Dollfusentis,,chandleri,,,"Golvan,",parasitic,"Woods Hole, Massachusetts to Brazil",,,A1; A2; A3; A4; A5; A6,"Salgado-Maldonado, G. and O. M. Amin. 2009. Acanthocephala of the Gulf of Mexico, Pp. 539–552 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",72,,Golvan,1969,"Added keyword ""parasitic""",http://gulfbase.org/biogomx/biospecies.php?species=Spp-28-0013
Spp-28-0014,Dollfusentis chandleri,Animalia,Acanthocephala,,Palaeacanthocephala,,,,Echinorhynchida,,,,,,,Illiosentidae,,,,Dollfusentis,,chandleri,,,"Golvan,",parasitic,"Woods Hole, Massachusetts to Brazil",,,C1; C2; C3; C4; C5; C6,"Salgado-Maldonado, G. and O. M. Amin. 2009. Acanthocephala of the Gulf of Mexico, Pp. 539–552 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",110,,Golvan,1969,"Added keyword ""parasitic""",http://gulfbase.org/biogomx/biospecies.php?species=Spp-28-0014
