Species number,Scientific name,Kingdom,Phylum,Subphylum,Class,Subclass,Infraclass,Superorder,Order,Suborder,Infraorder,Section,Subsection,Superfamily,Above family,Family,Subfamily,Tribe,Supergenus,Genus,Subgenus,Species,Subspecies,Synonyms,Scientific name author,Habitat-Biology,Overall geographic range,Min depth (m),Max depth (m),Polygon,Source,References,Endnotes,Author,Year,Changes from the book,URL
Spp-37-0001,Arenicola cristata,Animalia,Annelida,,Polychaeta,Scolecida,,,,,,,,,,Arenicolidae,,,,Arenicola,,cristata,,,Stimpson,"soft substrate (muds, sands, clays); burrower or borer",Widely distributed,0,2,A1; B1,"Fauchald, K., A. Granados-Barba, and V. Solís-Weiss. 2009. Polychaeta (Annelida) of the Gulf of Mexico, Pp. 751–788 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",35,,Stimpson,1856,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-37-0001
Spp-37-0002,Barantolla cf. lepte,Animalia,Annelida,,Polychaeta,Scolecida,,,,,,,,,,Capitellidae,,,,Barantolla,,cf. lepte,,,Hutchings,"soft substrate (muds, sands, clays); burrower or borer","New South Wales, Gulf of Mexico",10,10,A2; B2,"Fauchald, K., A. Granados-Barba, and V. Solís-Weiss. 2009. Polychaeta (Annelida) of the Gulf of Mexico, Pp. 751–788 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",16,,Hutchings,1974,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-37-0002
Spp-37-0003,Capitella capitata,Animalia,Annelida,,Polychaeta,Scolecida,,,,,,,,,,Capitellidae,,,,Capitella,,capitata,,,Fabricius,"soft substrate (muds, sands, clays); burrower or borer",Widely distributed,1,54,A1; A2; B1; B2; E1; E2; F1; F2; G1; G2; H1; H2,"Fauchald, K., A. Granados-Barba, and V. Solís-Weiss. 2009. Polychaeta (Annelida) of the Gulf of Mexico, Pp. 751–788 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","16, 95",,Fabricius,1780,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-37-0003
Spp-37-0004,Dasybranchus lumbricoides,Animalia,Annelida,,Polychaeta,Scolecida,,,,,,,,,,Capitellidae,,,,Dasybranchus,,lumbricoides,,,Grube,"soft substrate (muds, sands, clays); burrower or borer","Philippine Islands, widespread in tropical and subtropical waters",18,91,A2; A3; B2; B3; E2; E3; F2; F3; G2; G3; H2; H3,"Fauchald, K., A. Granados-Barba, and V. Solís-Weiss. 2009. Polychaeta (Annelida) of the Gulf of Mexico, Pp. 751–788 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",16,,Grube,1878,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-37-0004
Spp-37-0005,Dasybranchus lunulatus,Animalia,Annelida,,Polychaeta,Scolecida,,,,,,,,,,Capitellidae,,,,Dasybranchus,,lunulatus,,,Ehlers,"soft substrate (muds, sands, clays); burrower or borer","North Carolina to Gulf of Mexico, Caribbean Sea",0,4,A1; B1; C1; D1; E1; F1,"Fauchald, K., A. Granados-Barba, and V. Solís-Weiss. 2009. Polychaeta (Annelida) of the Gulf of Mexico, Pp. 751–788 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",16,,Ehlers,1887,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-37-0005
Spp-37-0006,Decamastus gracilis,Animalia,Annelida,,Polychaeta,Scolecida,,,,,,,,,,Capitellidae,,,,Decamastus,,gracilis,,,Hartman,"soft substrate (muds, sands, clays); burrower or borer","Southern California, Gulf of Mexico",43,43,A2; B2; E2; F2,"Fauchald, K., A. Granados-Barba, and V. Solís-Weiss. 2009. Polychaeta (Annelida) of the Gulf of Mexico, Pp. 751–788 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","16, 95",,Hartman,1963,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-37-0006
Spp-37-0007,Heteromastus filiformis,Animalia,Annelida,,Polychaeta,Scolecida,,,,,,,,,,Capitellidae,,,,Heteromastus,,filiformis,,,Claparède,"soft substrate (muds, sands, clays); burrower or borer",Widely distributed,0,4,A1; B1; E1; F1,"Fauchald, K., A. Granados-Barba, and V. Solís-Weiss. 2009. Polychaeta (Annelida) of the Gulf of Mexico, Pp. 751–788 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","16, 95",,Claparède,1864,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-37-0007
Spp-37-0008,Leiocapitella glabra,Animalia,Annelida,,Polychaeta,Scolecida,,,,,,,,,,Capitellidae,,,,Leiocapitella,,glabra,,,Hartman,"soft substrate (muds, sands, clays); burrower or borer","Southern California, Gulf of California, Gulf of Mexico",65,65,G3; H3,"Fauchald, K., A. Granados-Barba, and V. Solís-Weiss. 2009. Polychaeta (Annelida) of the Gulf of Mexico, Pp. 751–788 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",16,,Hartman,1947,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-37-0008
Spp-37-0009,Leiochrides pallidior,Animalia,Annelida,,Polychaeta,Scolecida,,,,,,,,,,Capitellidae,,,,Leiochrides,,pallidior,,,Chamberlin,"soft substrate (muds, sands, clays); burrower or borer","California, Gulf of Mexico",1,2,A1; B1,"Fauchald, K., A. Granados-Barba, and V. Solís-Weiss. 2009. Polychaeta (Annelida) of the Gulf of Mexico, Pp. 751–788 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",16,,Chamberlin,1918,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-37-0009
Spp-37-0010,Mastobranchus variabilis,Animalia,Annelida,,Polychaeta,Scolecida,,,,,,,,,,Capitellidae,,,,Mastobranchus,,variabilis,,,Ewing,"soft substrate (muds, sands, clays); burrower or borer; endemic to Gulf of Mexico",Gulf of Mexico only,10,58,A2; B2; E2; F2,"Fauchald, K., A. Granados-Barba, and V. Solís-Weiss. 2009. Polychaeta (Annelida) of the Gulf of Mexico, Pp. 751–788 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",17,,Ewing,1984,"Added keyword ""endemic to Gulf of Mexico""",http://gulfbase.org/biogomx/biospecies.php?species=Spp-37-0010
