Species number,Scientific name,Kingdom,Phylum,Subphylum,Class,Subclass,Infraclass,Superorder,Order,Suborder,Infraorder,Section,Subsection,Superfamily,Above family,Family,Subfamily,Tribe,Supergenus,Genus,Subgenus,Species,Subspecies,Synonyms,Scientific name author,Habitat-Biology,Overall geographic range,Min depth (m),Max depth (m),Polygon,Source,References,Endnotes,Author,Year,Changes from the book,URL
Spp-57-0007,Cyclaspis bacescui,Animalia,Arhtropoda,Crustacea,Malacostraca,,,Peracarida,Cumacea,,,,,,,Bodotriidae,Bodotriinae,,,Cyclaspis,,bacescui,,,"Omholt and Heard,","benthic; planktonic; soft substrate (muds, sands, clays); coral reef; inner continental shelf (<100 m)","Gulf of Mexico, Caribbean",10,53,A2; B2; C2; D2,"Heard, R. W. and D. Roccatagliata. 2009. Cumacea (Crustacea) of the Gulf of Mexico, Pp. 1001–1011 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","10, 31, 76",,Omholt & Heard,1982,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-57-0007
Spp-57-0008,Cyclaspis goesii,Animalia,Arhtropoda,Crustacea,Malacostraca,,,Peracarida,Cumacea,,,,,,,Bodotriidae,Bodotriinae,,,Cyclaspis,,goesii,,,"Sars,","benthic; soft substrate (muds, sands, clays); coral reef; seagrass; inner continental shelf (<100 m)","Gulf of Mexico?, Caribbean",3,3,C1,"Heard, R. W. and D. Roccatagliata. 2009. Cumacea (Crustacea) of the Gulf of Mexico, Pp. 1001–1011 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","83, 84, 85, 107",1,Sars,1871,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-57-0008
Spp-57-0009,Cyclaspis granulata,Animalia,Arhtropoda,Crustacea,Malacostraca,,,Peracarida,Cumacea,,,,,,,Bodotriidae,Bodotriinae,,,Cyclaspis,,granulata,,,"Radha Devi and Kurian,",benthic; planktonic; coral reef; seagrass; inner continental shelf (<100 m),"Gulf of Mexico, Caribbean",0,20,B1; B2,"Heard, R. W. and D. Roccatagliata. 2009. Cumacea (Crustacea) of the Gulf of Mexico, Pp. 1001–1011 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","83, 95",2,Radha Devi & Kurian,1981,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-57-0009
Spp-57-0010,Cyclaspis iorgui,Animalia,Arhtropoda,Crustacea,Malacostraca,,,Peracarida,Cumacea,,,,,,,Bodotriidae,Bodotriinae,,,Cyclaspis,,iorgui,,,"Ortiz and Lalana,","benthic; soft substrate (muds, sands, clays); seagrass; inner continental shelf (<100 m); endemic to Gulf of Mexico",Gulf of Mexico,0,20,C1; C2,"Heard, R. W. and D. Roccatagliata. 2009. Cumacea (Crustacea) of the Gulf of Mexico, Pp. 1001–1011 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",78,,Ortiz & Lalana,2002,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-57-0010
Spp-57-0011,Cyclaspis longipes,Animalia,Arhtropoda,Crustacea,Malacostraca,,,Peracarida,Cumacea,,,,,,,Bodotriidae,Bodotriinae,,,Cyclaspis,,longipes,,,"Calman,","benthic; soft substrate (muds, sands, clays); inner continental shelf (<100 m)","Gulf of Mexico, Caribbean",3,41,C1; C2; E1; E2,"Heard, R. W. and D. Roccatagliata. 2009. Cumacea (Crustacea) of the Gulf of Mexico, Pp. 1001–1011 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","15, 31, 85",,Calman,1907,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-57-0011
Spp-57-0012,Cyclaspis mexicansis,Animalia,Arhtropoda,Crustacea,Malacostraca,,,Peracarida,Cumacea,,,,,,,Bodotriidae,Bodotriinae,,,Cyclaspis,,mexicansis,,,"Radha Devi and Kurian,",planktonic; inner continental shelf (<100 m); endemic to Gulf of Mexico,Gulf of Mexico,0,20,E1; E2,"Heard, R. W. and D. Roccatagliata. 2009. Cumacea (Crustacea) of the Gulf of Mexico, Pp. 1001–1011 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",95,3,Radha Devi & Kurian,1981,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-57-0012
Spp-57-0013,Cyclaspis platymerus,Animalia,Arhtropoda,Crustacea,Malacostraca,,,Peracarida,Cumacea,,,,,,,Bodotriidae,Bodotriinae,,,Cyclaspis,,platymerus,,,"Zimmer,",planktonic; inner continental shelf (<100 m); endemic to Gulf of Mexico,Gulf of Mexico,0,20,B1; B2,"Heard, R. W. and D. Roccatagliata. 2009. Cumacea (Crustacea) of the Gulf of Mexico, Pp. 1001–1011 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","100, 123",,Zimmer,1944,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-57-0013
Spp-57-0014,Cyclaspis pustulata,Animalia,Arhtropoda,Crustacea,Malacostraca,,,Peracarida,Cumacea,,,,,,,Bodotriidae,Bodotriinae,,,Cyclaspis,,pustulata,,,"Zimmer,","benthic; soft substrate (muds, sands, clays); inner continental shelf (<100 m)","Gulf of Mexico, Northwest & Southwest Atlantic",1,6,A1; A2,"Heard, R. W. and D. Roccatagliata. 2009. Cumacea (Crustacea) of the Gulf of Mexico, Pp. 1001–1011 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","19, 96, 97, 103, 122, 124",,Zimmer,1943,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-57-0014
Spp-57-0015,Cyclaspis simonae,Animalia,Arhtropoda,Crustacea,Malacostraca,,,Peracarida,Cumacea,,,,,,,Bodotriidae,Bodotriinae,,,Cyclaspis,,simonae,,,"Petrescu, Iliffe, and Sârbu,","benthic; soft substrate (muds, sands, clays); coral reef; seagrass; bay and nearshore","Gulf of Mexico, Caribbean",2,3,C1,"Heard, R. W. and D. Roccatagliata. 2009. Cumacea (Crustacea) of the Gulf of Mexico, Pp. 1001–1011 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","90, 83, 85",4,"Petrescu, Iliffe & Sârbu",1993,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-57-0015
Spp-57-0016,Cyclaspis unicornis,Animalia,Arhtropoda,Crustacea,Malacostraca,,,Peracarida,Cumacea,,,,,,,Bodotriidae,Bodotriinae,,,Cyclaspis,,unicornis,,,"Calman,","benthic; soft substrate (muds, sands, clays); inner continental shelf (<100 m)","Gulf of Mexico, Caribbean",13,13,C2,"Heard, R. W. and D. Roccatagliata. 2009. Cumacea (Crustacea) of the Gulf of Mexico, Pp. 1001–1011 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","10, 15, 31, 90",5,Calman,1907,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-57-0016
Spp-57-0017,Cyclaspis varians,Animalia,Arhtropoda,Crustacea,Malacostraca,,,Peracarida,Cumacea,,,,,,,Bodotriidae,Bodotriinae,,,Cyclaspis,,varians,,,"Calman,","benthic; soft substrate (muds, sands, clays); bay and nearshore","Gulf of Mexico, Northwest Atlantic",2,6,A1; A2; E1; E2,"Heard, R. W. and D. Roccatagliata. 2009. Cumacea (Crustacea) of the Gulf of Mexico, Pp. 1001–1011 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","17, 19, 31, 73, 124",,Calman,1912,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-57-0017
Spp-57-0019,Spilocuma salomani,Animalia,Arhtropoda,Crustacea,Malacostraca,,,Peracarida,Cumacea,,,,,,,Bodotriidae,Leptocuminae,,,Spilocuma,,salomani,,,"Watling,","benthic; soft substrate (muds, sands, clays); beach and shoreline; endemic to Gulf of Mexico",Gulf of Mexico,1,3,A1; E1,"Heard, R. W. and D. Roccatagliata. 2009. Cumacea (Crustacea) of the Gulf of Mexico, Pp. 1001–1011 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","24, 31, 72, 96, 97, 98, 104, 105, 116",,Watling,1977,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-57-0019
Spp-57-0020,Spilocuma watlingi,Animalia,Arhtropoda,Crustacea,Malacostraca,,,Peracarida,Cumacea,,,,,,,Bodotriidae,Leptocuminae,,,Spilocuma,,watlingi,,,"Omholt and Heard,","benthic; soft substrate (muds, sands, clays); beach and shoreline; bay and nearshore","Gulf of Mexico, South Atlantic Bight",1,3,A1,"Heard, R. W. and D. Roccatagliata. 2009. Cumacea (Crustacea) of the Gulf of Mexico, Pp. 1001–1011 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","38, 72, 75, 96, 97, 98",,Omholt & Heard,1979,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-57-0020
Spp-57-0022,Sympodomma sarahae,Animalia,Arhtropoda,Crustacea,Malacostraca,,,Peracarida,Cumacea,,,,,,,Bodotriidae,Vaunthompsoniinae,,,Sympodomma,,sarahae,,,"Petrescu and Heard,","benthic; soft substrate (muds, sands, clays); inner continental shelf (<100 m); outer continental shelf (101–200 m); slope; endemic to Gulf of Mexico",Gulf of Mexico,90,213,G3; G4,"Heard, R. W. and D. Roccatagliata. 2009. Cumacea (Crustacea) of the Gulf of Mexico, Pp. 1001–1011 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",88,6,Petrescu & Heard,2005,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-57-0022
Spp-57-0023,Vaunthompsonia floridana,Animalia,Arhtropoda,Crustacea,Malacostraca,,,Peracarida,Cumacea,,,,,,,Bodotriidae,Vaunthompsoniinae,,,Vaunthompsonia,,floridana,,,"B?cescu,","benthic; planktonic; soft substrate (muds, sands, clays); seagrass; bay and nearshore","Gulf of Mexico, Caribbean",0,20,C1; C2,"Heard, R. W. and D. Roccatagliata. 2009. Cumacea (Crustacea) of the Gulf of Mexico, Pp. 1001–1011 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","2, 31, 77, 85, 90",,B?cescu,1971,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-57-0023
Spp-57-0024,Vaunthompsonia minor,Animalia,Arhtropoda,Crustacea,Malacostraca,,,Peracarida,Cumacea,,,,,,,Bodotriidae,Vaunthompsoniinae,,,Vaunthompsonia,,minor,,,"Zimmer,","benthic; planktonic; soft substrate (muds, sands, clays); bay and nearshore","Gulf of Mexico, Caribbean",2,5,C1,"Heard, R. W. and D. Roccatagliata. 2009. Cumacea (Crustacea) of the Gulf of Mexico, Pp. 1001–1011 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","15, 31, 83, 85, 123","7, 8",Zimmer,1944,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-57-0024
Spp-57-0026,Diastylis bispinosa,Animalia,Arhtropoda,Crustacea,Malacostraca,,,Peracarida,Cumacea,,,,,,,Diastylidae,,,,Diastylis,,bispinosa,,,"Stimpson,","benthic; soft substrate (muds, sands, clays); inner continental shelf (<100 m); outer continental shelf (101–200 m); slope","Gulf of Mexico?, Northwest Atlantic",0,20,C1; C2,"Heard, R. W. and D. Roccatagliata. 2009. Cumacea (Crustacea) of the Gulf of Mexico, Pp. 1001–1011 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","106, 113, 123, 124",9,Stimpson,1853,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-57-0026
Spp-57-0027,Leptostylis gutzui,Animalia,Arhtropoda,Crustacea,Malacostraca,,,Peracarida,Cumacea,,,,,,,Diastylidae,,,,Leptostylis,,gutzui,,,"Petrescu,","benthic; soft substrate (muds, sands, clays); bay and nearshore; endemic to Gulf of Mexico",Gulf of Mexico,2,3,C1,"Heard, R. W. and D. Roccatagliata. 2009. Cumacea (Crustacea) of the Gulf of Mexico, Pp. 1001–1011 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",85,,Petrescu,2004,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-57-0027
Spp-57-0028,Oxyurostylis atlantica,Animalia,Arhtropoda,Crustacea,Malacostraca,,,Peracarida,Cumacea,,,,,,,Diastylidae,,,,Oxyurostylis,,atlantica,,,"Radha Devi and Kurian,",planktonic; inner continental shelf (<100 m),"Gulf of Mexico, Caribbean",0,20,B1; B2; C1; C2; E1; E2,"Heard, R. W. and D. Roccatagliata. 2009. Cumacea (Crustacea) of the Gulf of Mexico, Pp. 1001–1011 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",95,10,Radha Devi & Kurian,1981,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-57-0028
Spp-57-0029,Oxyurostylis smithi,Animalia,Arhtropoda,Crustacea,Malacostraca,,,Peracarida,Cumacea,,,,,,,Diastylidae,,,,Oxyurostylis,,smithi,,,"Calman,","benthic; planktonic; soft substrate (muds, sands, clays); bay and nearshore; inner continental shelf (<100 m)","Gulf of Mexico, Northwest Atlantic",0,2,A1; B1; C1; H1,"Heard, R. W. and D. Roccatagliata. 2009. Cumacea (Crustacea) of the Gulf of Mexico, Pp. 1001–1011 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","17, 19, 24, 73, 85, 102, 123, 124",11,Calman,1912,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-57-0029
Spp-57-0030,Oxyurostylis lecroyae,Animalia,Arhtropoda,Crustacea,Malacostraca,,,Peracarida,Cumacea,,,,,,,Diastylidae,,,,Oxyurostylis,,lecroyae,,,"Roccatagliata and Heard,","benthic; soft substrate (muds, sands, clays); bay and nearshore; endemic to Gulf of Mexico",Gulf of Mexico,1,12,A1; A2; B1; B2; H1; H2,"Heard, R. W. and D. Roccatagliata. 2009. Cumacea (Crustacea) of the Gulf of Mexico, Pp. 1001–1011 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",102,,Roccatagliata & Heard,1995,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-57-0030
Spp-57-0032,Eudorella monodon,Animalia,Arhtropoda,Crustacea,Malacostraca,,,Peracarida,Cumacea,,,,,,,Leuconidae,,,,Eudorella,,monodon,,,"Calman,","benthic; soft substrate (muds, sands, clays); bay and nearshore; inner continental shelf (<100 m); endemic to Gulf of Mexico",Gulf of Mexico,2,63,A1; A2; A3; E1; E2; E3; H1; H2; H3,"Heard, R. W. and D. Roccatagliata. 2009. Cumacea (Crustacea) of the Gulf of Mexico, Pp. 1001–1011 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","17, 31, 73",,Calman,1912,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-57-0032
