Species number,Scientific name,Kingdom,Phylum,Subphylum,Class,Subclass,Infraclass,Superorder,Order,Suborder,Infraorder,Section,Subsection,Superfamily,Above family,Family,Subfamily,Tribe,Supergenus,Genus,Subgenus,Species,Subspecies,Synonyms,Scientific name author,Habitat-Biology,Overall geographic range,Min depth (m),Max depth (m),Polygon,Source,References,Endnotes,Author,Year,Changes from the book,URL
Spp-43-0001,Achelia sawayai,Animalia,Arthropoda,,Pycnogonida,,,,,,,,,,,Ammotheidae,,,,Achelia,,sawayai,,,"Marcus,",epibiotic; bay and nearshore; outer continental shelf,"Amphi-Atlantic, Indo-Pacific",0,115,B1; B2; B3; C1; C2; C3; E1; E2; E3,"Child, C. A. 2009. Pycnogonida and Xiphosura (Cheliceriformes) of the Gulf of Mexico, Pp. 815–820 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",3,,Marcus,1940,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-43-0001
Spp-43-0002,Ammothella appendiculata,Animalia,Arthropoda,,Pycnogonida,,,,,,,,,,,Ammotheidae,,,,Ammothella,,appendiculata,,,"Dohrn,",epibiotic; bay and nearshore,"Amphi-Atlantic, Mediterranean Sea, East Pacific",0,65,G1; G2; G3,"Child, C. A. 2009. Pycnogonida and Xiphosura (Cheliceriformes) of the Gulf of Mexico, Pp. 815–820 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",7,,Dohrn,1881,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-43-0002
Spp-43-0003,Ammothella marcusi,Animalia,Arthropoda,,Pycnogonida,,,,,,,,,,,Ammotheidae,,,,Ammothella,,marcusi,,,"Hedgpeth,",epibiotic; bay and nearshore,Gulf of Mexico & Caribbean Sea to Brazil,0,15,C1; C2,"Child, C. A. 2009. Pycnogonida and Xiphosura (Cheliceriformes) of the Gulf of Mexico, Pp. 815–820 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","5, 7",,Hedgpeth,1948,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-43-0003
Spp-43-0004,Ammothella rugulosa,Animalia,Arthropoda,,Pycnogonida,,,,,,,,,,,Ammotheidae,,,,Ammothella,,rugulosa,,,"Verrill,",epibiotic; bay and nearshore,"Bermuda, Gulf of Mexico, Caribbean Sea, Panama, Brazil",0,34,C1; C2; G1; G2; H1; H2,"Child, C. A. 2009. Pycnogonida and Xiphosura (Cheliceriformes) of the Gulf of Mexico, Pp. 815–820 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","5, 7",,Verrill,1900,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-43-0004
Spp-43-0005,Ascorhynchus colei,Animalia,Arthropoda,,Pycnogonida,,,,,,,,,,,Ammotheidae,,,,Ascorhynchus,,colei,,,"Hedgpeth,",epibiotic,"Florida, Bahamas, Dominican Republic, Brazil",0,293,C1; C2; C3; C4,"Child, C. A. 2009. Pycnogonida and Xiphosura (Cheliceriformes) of the Gulf of Mexico, Pp. 815–820 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","5, 12",,Hedgpeth,1943,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-43-0005
Spp-43-0006,Ascohrynchus crenatum,Animalia,Arthropoda,,Pycnogonida,,,,,,,,,,,Ammotheidae,,,,Ascohrynchus,,crenatum,,,"Child,",epibiotic; endemic to Gulf of Mexico?,West Florida,55,76,B2; B3,"Child, C. A. 2009. Pycnogonida and Xiphosura (Cheliceriformes) of the Gulf of Mexico, Pp. 815–820 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",3,,Child,1992,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-43-0006
Spp-43-0007,Ascorhynchus horologium,Animalia,Arthropoda,,Pycnogonida,,,,,,,,,,,Ammotheidae,,,,Ascorhynchus,,horologium,,,"Child,",epibiotic; endemic to Gulf of Mexico?,West Florida,73,90,B3,"Child, C. A. 2009. Pycnogonida and Xiphosura (Cheliceriformes) of the Gulf of Mexico, Pp. 815–820 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",3,,Child,1992,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-43-0007
Spp-43-0008,Ascorhynchus latipes,Animalia,Arthropoda,,Pycnogonida,,,,,,,,,,,Ammotheidae,,,,Ascorhynchus,,latipes,,,"Cole,",epibiotic; bay and nearshore,"Atlantic, Caribbean, West Africa",0,10,E1; E2,"Child, C. A. 2009. Pycnogonida and Xiphosura (Cheliceriformes) of the Gulf of Mexico, Pp. 815–820 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",3,,Cole,1906,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-43-0008
Spp-43-0009,Ascorhynchus ovicoxa,Animalia,Arthropoda,,Pycnogonida,,,,,,,,,,,Ammotheidae,,,,Ascorhynchus,,ovicoxa,,,"Stock,",slope; deep sea,Bermuda to Florida,333,2223,C4; C5,"Child, C. A. 2009. Pycnogonida and Xiphosura (Cheliceriformes) of the Gulf of Mexico, Pp. 815–820 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","11, 12",,Stock,1975,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-43-0009
Spp-43-0010,Ascorhynchus pararmatus,Animalia,Arthropoda,,Pycnogonida,,,,,,,,,,,Ammotheidae,,,,Ascorhynchus,,pararmatus,,,"Stock,",epibiotic; outer continental shelf; slope,"Bahamas, Florida, Cuba",101,2195,A3; A4; A5; B3; B4; B5; C3; C4; C5,"Child, C. A. 2009. Pycnogonida and Xiphosura (Cheliceriformes) of the Gulf of Mexico, Pp. 815–820 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","11, 12",,Stock,1975,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-43-0010
