Species number,Scientific name,Kingdom,Phylum,Subphylum,Class,Subclass,Infraclass,Superorder,Order,Suborder,Infraorder,Section,Subsection,Superfamily,Above family,Family,Subfamily,Tribe,Supergenus,Genus,Subgenus,Species,Subspecies,Synonyms,Scientific name author,Habitat-Biology,Overall geographic range,Min depth (m),Max depth (m),Polygon,Source,References,Endnotes,Author,Year,Changes from the book,URL
Spp-66-0006,Glottidia pyramidata,Animalia,Brachiopoda,Linguliformea,Lingulata,,,,Lingulida,,,,,Linguloidea,,Lingulidae,,,,Glottidia,,pyramidata,,,Stimpson,soft substrate,"North, Central, and South America",1,73,A1; A2; A3; B1; B2; B3,"Santagata, S. and J. W. Tunnell Jr. 2009. Brachiopoda of the Gulf of Mexico, Pp. 1137–1141 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","8, 10, 11, 29",,Stimpson,1860,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-66-0006
Spp-66-0009,Discradisca antillarum,Animalia,Brachiopoda,Linguliformea,Lingulata,,,,Lingulida,,,,,Discinoidea,,Discinidae,,,,Discradisca,,antillarum,,,dOrbigny,hard substrate,"Gulf of Mexico, Jamaica to Cuba, Nicaragua, Brazil",7,24,E2; F2; G2; H2,"Santagata, S. and J. W. Tunnell Jr. 2009. Brachiopoda of the Gulf of Mexico, Pp. 1137–1141 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","14, 30",,dOrbigny,1846,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-66-0009
Spp-66-0015,Crania pourtalesi,Animalia,Brachiopoda,Craniiformea,Craniata,,,,Craniida,,,,,Cranioidea,,Craniidae,,,,Crania,,pourtalesi,,,Dall,hard substrate,Gulf of Mexico and Caribbean,209,334,C4; D4; E4; F4,"Santagata, S. and J. W. Tunnell Jr. 2009. Brachiopoda of the Gulf of Mexico, Pp. 1137–1141 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","8, 11, 15",,Dall,1871,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-66-0015
Spp-66-0021,Cryptopora rectimarginata,Animalia,Brachiopoda,Rhynchonelliformea,Rhynchonellata,,,,Rhynchonellida,,,,,Dimerelloidea     ,,Cryptoporidae,,,,Cryptopora,,rectimarginata,,,Cooper,soft substrate,cosmopolitan,123,384,A3; A4; B3; B4,"Santagata, S. and J. W. Tunnell Jr. 2009. Brachiopoda of the Gulf of Mexico, Pp. 1137–1141 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","8, 9, 11","1, 2",Cooper,1959,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-66-0021
Spp-66-0026,Dallina floridana,Animalia,Brachiopoda,Rhynchonelliformea,Rhynchonellata,,,,Terebratulida,Terebratellidina,,,,Zeillerioidea,,Dallinidae,,,,Dallina,,floridana,,,Pourtalès,hard substrate,"Gulf of Mexico, Dry Tortugas, and Bahamas",64,457,A3; A4; B3; B4; C3; C4; D3; D4; E3; E4; F3; F4,"Santagata, S. and J. W. Tunnell Jr. 2009. Brachiopoda of the Gulf of Mexico, Pp. 1137–1141 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","8, 11, 25",3,Pourtalès,1868,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-66-0026
Spp-66-0028,Ecnomiosa gerda,Animalia,Brachiopoda,Rhynchonelliformea,Rhynchonellata,,,,Terebratulida,Terebratellidina,,,,Zeillerioidea,,Ecnomiosidae,,,,Ecnomiosa,,gerda,,,Cooper,hard substrate; endemic to Gulf of Mexico?,Gulf of Mexico endemic? Dry Tortugas and Campeche Shelf North of Coatzcoalcos and Northwest of Cape San Antonio,723,915,C4; D4,"Santagata, S. and J. W. Tunnell Jr. 2009. Brachiopoda of the Gulf of Mexico, Pp. 1137–1141 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",11,,Cooper,1977,"Added keyword ""endemic to Gulf of Mexico?""",http://gulfbase.org/biogomx/biospecies.php?species=Spp-66-0028
Spp-66-0031,Argyrotheca sp. 4,Animalia,Brachiopoda,Rhynchonelliformea,Rhynchonellata,,,,Terebratulida,Terebratellidina,,,,Megathyriidoidea,,Megathyrididae,,,,Argyrotheca,,sp. 4,,,Cooper,hard substrate; endemic to Gulf of Mexico?,Gulf of Mexico endemic?,47,47,E2; F2,"Santagata, S. and J. W. Tunnell Jr. 2009. Brachiopoda of the Gulf of Mexico, Pp. 1137–1141 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",11,,Cooper,1977,"Added keyword ""endemic to Gulf of Mexico?""",http://gulfbase.org/biogomx/biospecies.php?species=Spp-66-0031
Spp-66-0032,Argyrotheca barrettiana,Animalia,Brachiopoda,Rhynchonelliformea,Rhynchonellata,,,,Terebratulida,Terebratellidina,,,,Megathyriidoidea,,Megathyrididae,,,,Argyrotheca,,barrettiana,,,Davidson,hard substrate,Gulf of Mexico to Brazil,184,300,A3; A4; B3; B4; G3; G4; H3; H4,"Santagata, S. and J. W. Tunnell Jr. 2009. Brachiopoda of the Gulf of Mexico, Pp. 1137–1141 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","2, 8, 11, 17",4,Davidson,1866,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-66-0032
Spp-66-0033,Argyrotheca hewatti,Animalia,Brachiopoda,Rhynchonelliformea,Rhynchonellata,,,,Terebratulida,Terebratellidina,,,,Megathyriidoidea,,Megathyrididae,,,,Argyrotheca,,hewatti,,,Cooper,hard substrate; endemic to Gulf of Mexico?,Gulf of Mexico endemic?,73,73,G3; H3,"Santagata, S. and J. W. Tunnell Jr. 2009. Brachiopoda of the Gulf of Mexico, Pp. 1137–1141 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",11,,Cooper,1977,"Added keyword ""endemic to Gulf of Mexico?""",http://gulfbase.org/biogomx/biospecies.php?species=Spp-66-0033
Spp-66-0034,Argyrotheca lutea,Animalia,Brachiopoda,Rhynchonelliformea,Rhynchonellata,,,,Terebratulida,Terebratellidina,,,,Megathyriidoidea,,Megathyrididae,,,,Argyrotheca,,lutea,,,Dall,hard substrate,Dry Tortugas to Cuba,55,275,C2; C3; C4; D2; D3; D4,"Santagata, S. and J. W. Tunnell Jr. 2009. Brachiopoda of the Gulf of Mexico, Pp. 1137–1141 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","8, 11, 15",,Dall,1871,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-66-0034
