Species number,Scientific name,Kingdom,Phylum,Subphylum,Class,Subclass,Infraclass,Superorder,Order,Suborder,Infraorder,Section,Subsection,Superfamily,Above family,Family,Subfamily,Tribe,Supergenus,Genus,Subgenus,Species,Subspecies,Synonyms,Scientific name author,Habitat-Biology,Overall geographic range,Min depth (m),Max depth (m),Polygon,Source,References,Endnotes,Author,Year,Changes from the book,URL
Spp-68-0006,Biflustra arborescens,Animalia,Bryozoa,,Gymnolaemata,,,,Cheilostomatida,Malacostegina,,,,Membraniporoidea,,Membraniporidae,,,,Biflustra,,arborescens,,,"Canu and Bassler,",epibenthic encrusting,"Cape Cod–Brazil, Gulf of Mexico, West Atlantic Ocean",0,10,A1; A2; B1; B2; C1; C2; D1; D2; G1; G2; H1; H2,"Winston, J. E. and F. J. Maturo Jr. 2009. Bryozoans (Ectoprocta) of the Gulf of Mexico, Pp. 1147–1164 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","21, 22",1,Canu & Bassler,1928,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-68-0006
Spp-68-0007,Biflustra denticulata,Animalia,Bryozoa,,Gymnolaemata,,,,Cheilostomatida,Malacostegina,,,,Membraniporoidea,,Membraniporidae,,,,Biflustra,,denticulata,,,"Busk,",epibenthic encrusting,"Cape Hatteras–Brazil, Caribbean, Gulf of Mexico",0,3,A1; B1; C1; D1,"Winston, J. E. and F. J. Maturo Jr. 2009. Bryozoans (Ectoprocta) of the Gulf of Mexico, Pp. 1147–1164 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","1, 9, 11, 19, 21, 22",,Busk,1856,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-68-0007
Spp-68-0008,Jellyella tuberculata,Animalia,Bryozoa,,Gymnolaemata,,,,Cheilostomatida,Malacostegina,,,,Membraniporoidea,,Membraniporidae,,,,Jellyella,,tuberculata,,,"Bosc,",pseudopelagic on floating substrata; epibenthic encrusting; attached to algae,cosmopolitan,0,3,A1; B1,"Winston, J. E. and F. J. Maturo Jr. 2009. Bryozoans (Ectoprocta) of the Gulf of Mexico, Pp. 1147–1164 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","1, 3, 9, 11, 19",,Bosc,1802,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-68-0008
Spp-68-0009,Membranipora tenella,Animalia,Bryozoa,,Gymnolaemata,,,,Cheilostomatida,Malacostegina,,,,Membraniporoidea,,Membraniporidae,,,,Membranipora,,tenella,,,"Hincks,",pseudopelagic on floating substrata; epibenthic encrusting,cosmopolitan,0,2,A1; B1,"Winston, J. E. and F. J. Maturo Jr. 2009. Bryozoans (Ectoprocta) of the Gulf of Mexico, Pp. 1147–1164 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",,2,Hincks,1880,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-68-0009
Spp-68-0010,Membranipora tenuis,Animalia,Bryozoa,,Gymnolaemata,,,,Cheilostomatida,Malacostegina,,,,Membraniporoidea,,Membraniporidae,,,,Membranipora,,tenuis,,,"Desor,",epibenthic encrusting,"Massachusetts–Florida, Brazil, Gulf of Mexico, East Pacific Ocean",0,7,A1; A2; B1; B2; G1; G2; H1; H2,"Winston, J. E. and F. J. Maturo Jr. 2009. Bryozoans (Ectoprocta) of the Gulf of Mexico, Pp. 1147–1164 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",19,,Desor,1848,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-68-0010
Spp-68-0012,Conopeum commensale,Animalia,Bryozoa,,Gymnolaemata,,,,Cheilostomatida,Malacostegina,,,,Membraniporoidea,,Electridae,,,,Conopeum,,commensale,,,"Kirkpatrick and Metzelaar,",epibenthic encrusting,"Gulf of Mexico, East Atlantic Ocean",0,37,A1; A2; B1; B2; G1; G2; H1; H2,"Winston, J. E. and F. J. Maturo Jr. 2009. Bryozoans (Ectoprocta) of the Gulf of Mexico, Pp. 1147–1164 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","8, 19",,Kirkpatrick & Metzelaar,1922,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-68-0012
Spp-68-0013,Conopeum tenuissimum,Animalia,Bryozoa,,Gymnolaemata,,,,Cheilostomatida,Malacostegina,,,,Membraniporoidea,,Electridae,,,,Conopeum,,tenuissimum,,,"Canu,",epibenthic encrusting; attached to algae,"Maine–Florida, Gulf of Mexico",0,4,A1; B1; C1; D1,"Winston, J. E. and F. J. Maturo Jr. 2009. Bryozoans (Ectoprocta) of the Gulf of Mexico, Pp. 1147–1164 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",19,3,Canu,1908,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-68-0013
Spp-68-0014,Electra bellula,Animalia,Bryozoa,,Gymnolaemata,,,,Cheilostomatida,Malacostegina,,,,Membraniporoidea,,Electridae,,,,Electra,,bellula,,,"Hincks,",epibenthic encrusting; attached to algae,"Florida–Brazil, Gulf of Mexico, Caribbean, West Africa East Pacific Ocean",0,10,A1; A2; B1; B2; G1; G2; H1; H2,"Winston, J. E. and F. J. Maturo Jr. 2009. Bryozoans (Ectoprocta) of the Gulf of Mexico, Pp. 1147–1164 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","8, 19",,Hincks,1881,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-68-0014
Spp-68-0015,Electra monostachys,Animalia,Bryozoa,,Gymnolaemata,,,,Cheilostomatida,Malacostegina,,,,Membraniporoidea,,Electridae,,,,Electra,,monostachys,,,"Busk,",epibenthic encrusting,"Gulf of Mexico, Maine–Cape Hatteras, East Atlantic Ocean, Brazil, Panama",2,6,A1; A2; B1; B2; G1; G2; H1; H2,"Winston, J. E. and F. J. Maturo Jr. 2009. Bryozoans (Ectoprocta) of the Gulf of Mexico, Pp. 1147–1164 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",8,4,Busk,1854,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-68-0015
Spp-68-0019,Aetea anguina,Animalia,Bryozoa,,Gymnolaemata,,,,Cheilostomatida,Inovicellina,,,,Aeteoidea,,Aeteidae,,,,Aetea,,anguina,,,"Linnaeus,",epibenthic encrusting; attached to algae,cosmopolitan,2,55,A1; A2; B1; B2; G1; G2; H1; H2,"Winston, J. E. and F. J. Maturo Jr. 2009. Bryozoans (Ectoprocta) of the Gulf of Mexico, Pp. 1147–1164 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","8, 19",,Linnaeus,1758,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-68-0019
