Species number,Scientific name,Kingdom,Phylum,Subphylum,Class,Subclass,Infraclass,Superorder,Order,Suborder,Infraorder,Section,Subsection,Superfamily,Above family,Family,Subfamily,Tribe,Supergenus,Genus,Subgenus,Species,Subspecies,Synonyms,Scientific name author,Habitat-Biology,Overall geographic range,Min depth (m),Max depth (m),Polygon,Source,References,Endnotes,Author,Year,Changes from the book,URL
Spp-69-0004,Eukrohnia bathyantarctica,Animalia,Chaetognatha,,Sagitoidea,,,,Monophragmophora,,,,,,,Eukrohniidae,,,,Eukrohnia,,bathyantarctica,,,David,mesoplanktonic-batiplanktonic; deep sea,"Antarctic, Caribbean, Florida Straits",500,2800,A4; A5; B4; B5; C4; C5; D4; D5; E4; E5; F4; F5,"Hernández-Flores, R. M., J. A. McLelland, and E. Suárez-Morales. 2009. Planktonic Chaetognatha of the Gulf of Mexico, Pp. 1165–1171 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","16, 37, 38, 46",1,David,1958,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-69-0004
Spp-69-0005,Eukrohnia bathypelagica,Animalia,Chaetognatha,,Sagitoidea,,,,Monophragmophora,,,,,,,Eukrohniidae,,,,Eukrohnia,,bathypelagica,,,Alvariño,mesoplanktonic-batiplanktonic; deep sea,"North Pacific, Atlantic Oceans",200,1400,A3; A4; A5; B3; B4; B5,"Hernández-Flores, R. M., J. A. McLelland, and E. Suárez-Morales. 2009. Planktonic Chaetognatha of the Gulf of Mexico, Pp. 1165–1171 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","37, 38, 46",,Alvariño,1962,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-69-0005
Spp-69-0006,Eukrohnia calliops,Animalia,Chaetognatha,,Sagitoidea,,,,Monophragmophora,,,,,,,Eukrohniidae,,,,Eukrohnia,,calliops,,,McLelland,mesoplanktonic; slope,North Gulf of Mexico,200,677,A3; A4; B3; B4,"Hernández-Flores, R. M., J. A. McLelland, and E. Suárez-Morales. 2009. Planktonic Chaetognatha of the Gulf of Mexico, Pp. 1165–1171 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",36–38,2,McLelland,1989,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-69-0006
Spp-69-0007,Eukrohnia fowleri,Animalia,Chaetognatha,,Sagitoidea,,,,Monophragmophora,,,,,,,Eukrohniidae,,,,Eukrohnia,,fowleri,,,Ritter-Záhony,mesoplanktonic-batiplanktonic; deep sea,Polar Seas and cold waters in tropics,200,750,A3; A4; B3; B4; C3; C4; D3; D4; E3; E4; F3; F4,"Hernández-Flores, R. M., J. A. McLelland, and E. Suárez-Morales. 2009. Planktonic Chaetognatha of the Gulf of Mexico, Pp. 1165–1171 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","16, 36–39, 46, 47",,Ritter-Záhony,1909,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-69-0007
Spp-69-0008,Eukrohnia proboscidea,Animalia,Chaetognatha,,Sagitoidea,,,,Monophragmophora,,,,,,,Eukrohniidae,,,,Eukrohnia,,proboscidea,,,Furnestin and Ducret,mesoplanktonic-batiplanktonic; deep sea,Tropical-subtropical Atlantic,677,1100,A4; A5; B4; B5,"Hernández-Flores, R. M., J. A. McLelland, and E. Suárez-Morales. 2009. Planktonic Chaetognatha of the Gulf of Mexico, Pp. 1165–1171 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","36–38, 46",3,Furnestin & Ducret,1965,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-69-0008
Spp-69-0011,Krohnitta pacifica,Animalia,Chaetognatha,,Sagitoidea,,,,Aphragmophora,,,,,,,Krohnittidae,,,,Krohnitta,,pacifica,,,Aida,epiplanktonic; neritic (semi); coastal surface and epipelagic,Tropical-subtropical seas,0,200,A1; A2; A3; B1; B2; B3; C1; C2; C3; D1; D2; D3; E1; E2; E3; F1; F2; F3; G1; G2; G3; H1; H2; H3,"Hernández-Flores, R. M., J. A. McLelland, and E. Suárez-Morales. 2009. Planktonic Chaetognatha of the Gulf of Mexico, Pp. 1165–1171 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","3, 35, 37, 40–44, 48, 50, 58",4,Aida,1897,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-69-0011
Spp-69-0012,Krohnitta subtilis,Animalia,Chaetognatha,,Sagitoidea,,,,Aphragmophora,,,,,,,Krohnittidae,,,,Krohnitta,,subtilis,,,Grassi,epiplanktonic-mesoplanktonic,Tropical-subtropical-temperate seas,200,677,A3; A4; B3; B4; C3; C4; D3; D4; E3; E4; F3; F4; G3; G4; H3; H4,"Hernández-Flores, R. M., J. A. McLelland, and E. Suárez-Morales. 2009. Planktonic Chaetognatha of the Gulf of Mexico, Pp. 1165–1171 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","16, 33, 35, 37–44, 47, 49, 50, 58",,Grassi,1881,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-69-0012
Spp-69-0014,Bathybelos typhlops,Animalia,Chaetognatha,,Sagitoidea,,,,Aphragmophora,,,,,,,Bathybelosidae,,,,Bathybelos,,typhlops,,,Owre,batiplanktonic; deep sea; endemic to Gulf of Mexico,Gulf of Mexico,2500,2500,A5; B5,"Hernández-Flores, R. M., J. A. McLelland, and E. Suárez-Morales. 2009. Planktonic Chaetognatha of the Gulf of Mexico, Pp. 1165–1171 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",46,5,Owre,1973,"Added keyword ""endemic to Gulf of Mexico""",http://gulfbase.org/biogomx/biospecies.php?species=Spp-69-0014
Spp-69-0016,Pterosagitta draco,Animalia,Chaetognatha,,Sagitoidea,,,,Aphragmophora,,,,,,,Pterosagittidae,,,,Pterosagitta,,draco,,,Krohn,epiplanktonic; oceanic surface and epipelagic; outer continental shelf,Tropical-subtropical seas,200,677,A3; A4; B3; B4; C3; C4; D3; D4; E3; E4; F3; F4; G3; G4; H3; H4,"Hernández-Flores, R. M., J. A. McLelland, and E. Suárez-Morales. 2009. Planktonic Chaetognatha of the Gulf of Mexico, Pp. 1165–1171 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","33, 35, 37, 38, 40–44, 46, 49, 50, 58",,Krohn,1853,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-69-0016
Spp-69-0018,Caecosagitta macrocephala,Animalia,Chaetognatha,,Sagitoidea,,,,Aphragmophora,,,,,,,Sagittiidae,,,,Caecosagitta,,macrocephala,,,Fowler,mesoplanktonic-batiplanktonic; deep sea,All oceans,200,1000,A3; A4; B3; B4; C3; C4; D3; D4; E3; E4; F3; F4; G3; G4; H3; H4,"Hernández-Flores, R. M., J. A. McLelland, and E. Suárez-Morales. 2009. Planktonic Chaetognatha of the Gulf of Mexico, Pp. 1165–1171 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","16, 37–39, 46, 47, 49",,Fowler,1905,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-69-0018
