Species number,Scientific name,Kingdom,Phylum,Subphylum,Class,Subclass,Infraclass,Superorder,Order,Suborder,Infraorder,Section,Subsection,Superfamily,Above family,Family,Subfamily,Tribe,Supergenus,Genus,Subgenus,Species,Subspecies,Synonyms,Scientific name author,Habitat-Biology,Overall geographic range,Min depth (m),Max depth (m),Polygon,Source,References,Endnotes,Author,Year,Changes from the book,URL
Spp-73-0001,Aplidium bermudae,Animalia,Chordata,Urochordata,Ascidiacea,,,,Aplousobranchia,,,,,,,Polyclinidae,,,,Aplidium,,bermudae,,,"Van Name,",benthic; hard substrate,Virginia to Texas to Caribbean Sea,3,50,A1; A2; H1; H2,"Cole, L. and G. Lambert. 2009. Tunicata (Urochordata) of the Gulf of Mexico, Pp. 1209–1216 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",30,,Van Name,1902,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-73-0001
Spp-73-0002,Aplidium constellatum,Animalia,Chordata,Urochordata,Ascidiacea,,,,Aplousobranchia,,,,,,,Polyclinidae,,,,Aplidium,,constellatum,,,"Verrill,",benthic; hard substrate,"Cape Cod, Mass., to Gulf of Mexico, Tobago",0,20,A1; A2; B1; B2,"Cole, L. and G. Lambert. 2009. Tunicata (Urochordata) of the Gulf of Mexico, Pp. 1209–1216 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",30,,Verrill,1871,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-73-0002
Spp-73-0003,Aplidium exile,Animalia,Chordata,Urochordata,Ascidiacea,,,,Aplousobranchia,,,,,,,Polyclinidae,,,,Aplidium,,exile,,,"Van Name,",benthic; hard substrate,Virginia to Florida Straits,20,48,B2,"Cole, L. and G. Lambert. 2009. Tunicata (Urochordata) of the Gulf of Mexico, Pp. 1209–1216 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",4,,Van Name,1902,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-73-0003
Spp-73-0004,Aplidium lobatum,Animalia,Chordata,Urochordata,Ascidiacea,,,,Aplousobranchia,,,,,,,Polyclinidae,,,,Aplidium,,lobatum,,,"Savigny,",benthic; hard substrate,Florida to Caribbean Sea to Panama,14,20,A2; B2,"Cole, L. and G. Lambert. 2009. Tunicata (Urochordata) of the Gulf of Mexico, Pp. 1209–1216 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",30,,Savigny,1816,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-73-0004
Spp-73-0005,Aplidium pellucidum,Animalia,Chordata,Urochordata,Ascidiacea,,,,Aplousobranchia,,,,,,,Polyclinidae,,,,Aplidium,,pellucidum,,,"Leidy,",benthic; hard substrate,Maine to Florida,17,60,B2,"Cole, L. and G. Lambert. 2009. Tunicata (Urochordata) of the Gulf of Mexico, Pp. 1209–1216 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",30,,Leidy,1855,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-73-0005
Spp-73-0006,Aplidium stellatum,Animalia,Chordata,Urochordata,Ascidiacea,,,,Aplousobranchia,,,,,,,Polyclinidae,,,,Aplidium,,stellatum,,,"Verrill,",hard substrate,Maine to Gulf of Mexico,1.5,1.5,A1,"Cole, L. and G. Lambert. 2009. Tunicata (Urochordata) of the Gulf of Mexico, Pp. 1209–1216 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","14, 31",,Verrill,1871,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-73-0006
Spp-73-0007,Polyclinum constellatum,Animalia,Chordata,Urochordata,Ascidiacea,,,,Aplousobranchia,,,,,,,Polyclinidae,,,,Polyclinum,,constellatum,,,"Savigny,",hard substrate,"Virginia to Florida to Texas, Caribbean Sea, Hawaii, Guam",0,48,A1; A2; B1; B2; G1; G2; H1; H2,"Cole, L. and G. Lambert. 2009. Tunicata (Urochordata) of the Gulf of Mexico, Pp. 1209–1216 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","16, 30, 31",,Savigny,1816,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-73-0007
Spp-73-0008,Synoicum daucum,Animalia,Chordata,Urochordata,Ascidiacea,,,,Aplousobranchia,,,,,,,Polyclinidae,,,,Synoicum,,daucum,,,"Monniot and Monniot,",benthic; hard substrate,"South Atlantic Ocean, Cape Basin, Gulf of Mexico",554,848,A4; H4,"Cole, L. and G. Lambert. 2009. Tunicata (Urochordata) of the Gulf of Mexico, Pp. 1209–1216 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",21,,Monniot & Monniot,1974,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-73-0008
Spp-73-0009,Didemnum conchyliatum,Animalia,Chordata,Urochordata,Ascidiacea,,,,Aplousobranchia,,,,,,,Didemnidae,,,,Didemnum,,conchyliatum,,,"Sluiter,",hard substrate,"Virginia to Florida, Caribbean Sea",0,2,B1,"Cole, L. and G. Lambert. 2009. Tunicata (Urochordata) of the Gulf of Mexico, Pp. 1209–1216 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",5,,Sluiter,1898,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-73-0009
Spp-73-0010,Didemnum duplicatum,Animalia,Chordata,Urochordata,Ascidiacea,,,,Aplousobranchia,,,,,,,Didemnidae,,,,Didemnum,,duplicatum,,,"Monniot,",hard substrate,"Florida to Texas, Caribbean Sea",1,15,G1; G2,"Cole, L. and G. Lambert. 2009. Tunicata (Urochordata) of the Gulf of Mexico, Pp. 1209–1216 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",16,,Monniot,1983,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-73-0010
