Species number,Scientific name,Kingdom,Phylum,Subphylum,Class,Subclass,Infraclass,Superorder,Order,Suborder,Infraorder,Section,Subsection,Superfamily,Above family,Family,Subfamily,Tribe,Supergenus,Genus,Subgenus,Species,Subspecies,Synonyms,Scientific name author,Habitat-Biology,Overall geographic range,Min depth (m),Max depth (m),Polygon,Source,References,Endnotes,Author,Year,Changes from the book,URL
Spp-13-0001,Epiphaxum breve,Animalia,Cnidaria,,Anthozoa,Octocorallia,,,Helioporacea,,,,,,,Lithotelestidae,,,,Epiphaxum,,breve,,,"Bayer, 1992",benthic; hard substrate; outer continental shelf (50–200 m),Bahamas,76,107,A3; B3,"Cairns, S. D. and F. M. Bayer. 2009. Octocorallia (Cnidaria) of the Gulf of Mexico, Pp. 321–331 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",12,,Bayer,1992,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-13-0001
Spp-13-0002,Carijoa operculata,Animalia,Cnidaria,,Anthozoa,Octocorallia,,,Alcyonacea,Stolonifera,,,,,,Clavulariidae,,,,Carijoa,,operculata,,,"Bayer, 1961",benthic; hard substrate; outer continental shelf (50–200 m)-slope (200–3000 m); endemic to Gulf of Mexico,Gulf of Mexico endemic,76,298,C3; C4; D3; D4,"Cairns, S. D. and F. M. Bayer. 2009. Octocorallia (Cnidaria) of the Gulf of Mexico, Pp. 321–331 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",7,,Bayer,1961,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-13-0002
Spp-13-0003,Carijoa riisei,Animalia,Cnidaria,,Anthozoa,Octocorallia,,,Alcyonacea,Stolonifera,,,,,,Clavulariidae,,,,Carijoa,,riisei,,,"Duchassaing and Michelotti, 1860",benthic; hard substrate; bay/inshore (0–50 m),"Caribbean, South America",0,55,C1; C2; D1; D2,"Cairns, S. D. and F. M. Bayer. 2009. Octocorallia (Cnidaria) of the Gulf of Mexico, Pp. 321–331 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","7, 28",,Duchassaing & Michelotti,1860,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-13-0003
Spp-13-0004,Scleranthelia rugosa var. rugosa,Animalia,Cnidaria,,Anthozoa,Octocorallia,,,Alcyonacea,Stolonifera,,,,,,Clavulariidae,,,,Scleranthelia,,rugosa,var. rugosa,,"Pourtalès, 1867",benthic; hard substrate; slope (200–3000 m),"southeast United States (warm temperate waters south of Cape Hatteras to Key Largo), Bahamas, Caribbean",494,494,C4; D4,"Cairns, S. D. and F. M. Bayer. 2009. Octocorallia (Cnidaria) of the Gulf of Mexico, Pp. 321–331 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","11, 28",,Pourtalès,1867,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-13-0004
Spp-13-0005,Scleranthelia rugosa var. musiva,Animalia,Cnidaria,,Anthozoa,Octocorallia,,,Alcyonacea,Stolonifera,,,,,,Clavulariidae,,,,Scleranthelia,,rugosa,var. musiva,,"Studer, 1878",benthic; hard substrate; outer continental shelf (50–200 m),"southeast United States (warm temperate waters south of Cape Hatteras to Key Largo), Bahamas, Caribbean, South America",110,188,A3; B3,"Cairns, S. D. and F. M. Bayer. 2009. Octocorallia (Cnidaria) of the Gulf of Mexico, Pp. 321–331 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",,1,Studer,1878,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-13-0005
Spp-13-0006,Stereotelesto corallina,Animalia,Cnidaria,,Anthozoa,Octocorallia,,,Alcyonacea,Stolonifera,,,,,,Clavulariidae,,,,Stereotelesto,,corallina,,,"Duchassaing, 1870",benthic; hard substrate; outer continental shelf (50–200 m),Caribbean,8,183,G2; G3; H2; H3,"Cairns, S. D. and F. M. Bayer. 2009. Octocorallia (Cnidaria) of the Gulf of Mexico, Pp. 321–331 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",28,,Duchassaing,1870,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-13-0006
Spp-13-0007,Telesto flavula,Animalia,Cnidaria,,Anthozoa,Octocorallia,,,Alcyonacea,Stolonifera,,,,,,Clavulariidae,,,,Telesto,,flavula,,,"Deichmann, 1936",benthic; hard substrate; bay/inshore (0–50 m); endemic to Gulf of Mexico,Gulf of Mexico endemic,49,64,C2; C3; D2; D3,"Cairns, S. D. and F. M. Bayer. 2009. Octocorallia (Cnidaria) of the Gulf of Mexico, Pp. 321–331 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","7, 28",,Deichmann,1936,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-13-0007
Spp-13-0008,Telesto fruticulosa,Animalia,Cnidaria,,Anthozoa,Octocorallia,,,Alcyonacea,Stolonifera,,,,,,Clavulariidae,,,,Telesto,,fruticulosa,,,"Dana, 1846",benthic; hard substrate; bay/inshore (0–50 m),southeast United States (warm temperate waters south of Cape Hatteras to Key Largo),33,183,G2; G3; H2; H3,"Cairns, S. D. and F. M. Bayer. 2009. Octocorallia (Cnidaria) of the Gulf of Mexico, Pp. 321–331 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",28,,Dana,1846,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-13-0008
Spp-13-0009,Telesto nelleae,Animalia,Cnidaria,,Anthozoa,Octocorallia,,,Alcyonacea,Stolonifera,,,,,,Clavulariidae,,,,Telesto,,nelleae,,,"Bayer, 1961",benthic; hard substrate; bay/inshore (0–50 m)-slope (200–3000 m),southeast United States (warm temperate waters south of Cape Hatteras to Key Largo),27,298,C2; C3; C4; D2; D3; D4,"Cairns, S. D. and F. M. Bayer. 2009. Octocorallia (Cnidaria) of the Gulf of Mexico, Pp. 321–331 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",7,,Bayer,1961,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-13-0009
Spp-13-0010,Telesto sanguinea,Animalia,Cnidaria,,Anthozoa,Octocorallia,,,Alcyonacea,Stolonifera,,,,,,Clavulariidae,,,,Telesto,,sanguinea,,,"Deichmann, 1936",benthic; hard substrate; bay/inshore (0–50 m)-outer continental shelf (50–200 m),southeast United States (warm temperate waters south of Cape Hatteras to Key Largo),24,110,C2; C3; D2; D3,"Cairns, S. D. and F. M. Bayer. 2009. Octocorallia (Cnidaria) of the Gulf of Mexico, Pp. 321–331 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","7, 28",,Deichmann,1936,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-13-0010
