Species number,Scientific name,Kingdom,Phylum,Subphylum,Class,Subclass,Infraclass,Superorder,Order,Suborder,Infraorder,Section,Subsection,Superfamily,Above family,Family,Subfamily,Tribe,Supergenus,Genus,Subgenus,Species,Subspecies,Synonyms,Scientific name author,Habitat-Biology,Overall geographic range,Min depth (m),Max depth (m),Polygon,Source,References,Endnotes,Author,Year,Changes from the book,URL
Spp-21-0005,Cestum veneris,Animalia,Ctenophora,,Tentaculata,Typhlocoela,,,Cestida,,,,,,,,,,,Cestum,,veneris,,,"Lesueur,",outer continental shelf (50–200 m); slope (200–3000 m); planktonic,Circumsubtropical,0,150,B1; B2; B3; F1; F2; F3; G1; G2; G3,"Moss, A. G. 2009. Ctenophora of the Gulf of Mexico, Pp. 403–411 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",7,"1, 2",Lesueur,1813,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-21-0005
Spp-21-0006,Velamen parallelum,Animalia,Ctenophora,,Tentaculata,Typhlocoela,,,Cestida,,,,,,,,,,,Velamen,,parallelum,,,"Fol,",outer continental shelf (50–200 m); slope (200–3000 m); planktonic,Circumsubtropical,0,0,B1,"Moss, A. G. 2009. Ctenophora of the Gulf of Mexico, Pp. 403–411 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",,2,Fol,1869,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-21-0006
Spp-21-0009,Charistephane fugiens,Animalia,Ctenophora,,Tentaculata,Typhlocoela,,,Cydippida,,,,,,,,,,,Charistephane,,fugiens,,,"Chun,",outer continental shelf (50–200 m); slope (200–3000 m); planktonic,"Atlantic, Pacific",0,0,B1,"Moss, A. G. 2009. Ctenophora of the Gulf of Mexico, Pp. 403–411 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","23, 92, 94",1,Chun,1879,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-21-0009
Spp-21-0012,Bathocyroe fosteri,Animalia,Ctenophora,,Tentaculata,Typhlocoela,,,Lobata,,,,,,,Bathocyroidae,,,,Bathocyroe,,fosteri,,,"Madin and Harbison,",slope (200–3000 m); planktonic,"Atlantic, Pacific",0,0,B1,"Moss, A. G. 2009. Ctenophora of the Gulf of Mexico, Pp. 403–411 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",,1,Madin & Harbison,1978,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-21-0012
Spp-21-0014,Mnemiopsis leidyi,Animalia,Ctenophora,,Tentaculata,Typhlocoela,,,Lobata,,,,,,,Bolinopsidae,,,,Mnemiopsis,,leidyi,,,"A. Agassiz,",intertidal (0–2 m); bay/inshore (0–50 m); outer continental shelf (50–200 m); slope (200–3000 m); planktonic,Atlantic,0,0,A1; B1; C1,"Moss, A. G. 2009. Ctenophora of the Gulf of Mexico, Pp. 403–411 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",44,3,A. Agassiz,1865,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-21-0014
Spp-21-0015,Mnemiopsis mccradyi,Animalia,Ctenophora,,Tentaculata,Typhlocoela,,,Lobata,,,,,,,Bolinopsidae,,,,Mnemiopsis,,mccradyi,,,"Mayer,",intertidal (0–2 m); bay/inshore (0–50 m); outer continental shelf (50–200 m); slope (200–3000 m); planktonic,Atlantic,0,0,A1; B1; C1,"Moss, A. G. 2009. Ctenophora of the Gulf of Mexico, Pp. 403–411 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","40, 65, 66",3,Mayer,1900,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-21-0015
Spp-21-0017,Eurhaphaea vexilligera,Animalia,Ctenophora,,Tentaculata,Typhlocoela,,,Lobata,,,,,,,Eurhamphaeidae,,,,Eurhaphaea,,vexilligera,,,"Gegenbaur,",outer continental shelf (50–200 m); slope (200–3000 m); planktonic,"Atlantic, Pacific",0,0,B1; G1,"Moss, A. G. 2009. Ctenophora of the Gulf of Mexico, Pp. 403–411 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",7,1,Gegenbaur,1856,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-21-0017
Spp-21-0018,Kiyohimea aurita,Animalia,Ctenophora,,Tentaculata,Typhlocoela,,,Lobata,,,,,,,Eurhamphaeidae,,,,Kiyohimea,,aurita,,,"Komai and Tokioka,",outer continental shelf (50–200 m); slope (200–3000 m); planktonic,"Atlantic, Pacific",0,0,B1,"Moss, A. G. 2009. Ctenophora of the Gulf of Mexico, Pp. 403–411 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",,1,Komai & Tokioka,1940,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-21-0018
Spp-21-0020,Leucothea ochracea,Animalia,Ctenophora,,Tentaculata,Typhlocoela,,,Lobata,,,,,,,Leucotheidae,,,,Leucothea,,ochracea,,,"Mayer,",outer continental shelf (50–200 m); slope (200–3000 m); planktonic,Atlantic,0,0,B1,"Moss, A. G. 2009. Ctenophora of the Gulf of Mexico, Pp. 403–411 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",,1,Mayer,1912,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-21-0020
Spp-21-0022,Ocyropsis crystallina crystallina,Animalia,Ctenophora,,Tentaculata,Typhlocoela,,,Lobata,,,,,,,Ocyropsidae,,,,Ocyropsis,,crystallina,crystallina,,"Rang,",outer continental shelf (50–200 m); slope (200–3000 m); planktonic,Atlantic,0,15,A1; A2; B1; B2; C1; C2,"Moss, A. G. 2009. Ctenophora of the Gulf of Mexico, Pp. 403–411 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",73,"2, 4",Rang,1828,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-21-0022
