Species number,Scientific name,Kingdom,Phylum,Subphylum,Class,Subclass,Infraclass,Superorder,Order,Suborder,Infraorder,Section,Subsection,Superfamily,Above family,Family,Subfamily,Tribe,Supergenus,Genus,Subgenus,Species,Subspecies,Synonyms,Scientific name author,Habitat-Biology,Overall geographic range,Min depth (m),Max depth (m),Polygon,Source,References,Endnotes,Author,Year,Changes from the book,URL
Spp-71-0001,Antedon nuttingi,Animalia,Echinodermata,,Crinoidea,,,,Comatulida,,,,,Antedonacea,,Antedonidae,,,,Antedon,,nuttingi,,,A. H. Clark,hard substrate,"Caribbean, Barbados",364,429,C4; D4,"Pawson, D. L., D. J. Vance, C. G. Messing, F. A. Solis-Marin, and C. L. Mah. 2009. Echinodermata of the Gulf of Mexico, Pp. 1177–1204 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","21, 66",,A. H. Clark,1936,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-71-0001
Spp-71-0002,Caryometra alope,Animalia,Echinodermata,,Crinoidea,,,,Comatulida,,,,,Antedonacea,,Antedonidae,,,,Caryometra,,alope,,,A. H. Clark,hard substrate,Cuba,475,640,E4; F4; G4; H4,"Pawson, D. L., D. J. Vance, C. G. Messing, F. A. Solis-Marin, and C. L. Mah. 2009. Echinodermata of the Gulf of Mexico, Pp. 1177–1204 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",21 66,,A. H. Clark,1940,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-71-0002
Spp-71-0003,Caryometra lisa,Animalia,Echinodermata,,Crinoidea,,,,Comatulida,,,,,Antedonacea,,Antedonidae,,,,Caryometra,,lisa,,,A. H. Clark,hard substrate,Cuba,702,702,A4; B4; G4; H4,"Pawson, D. L., D. J. Vance, C. G. Messing, F. A. Solis-Marin, and C. L. Mah. 2009. Echinodermata of the Gulf of Mexico, Pp. 1177–1204 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","21, 66",,A. H. Clark,1940,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-71-0003
Spp-71-0004,Caryometra tenuipes,Animalia,Echinodermata,,Crinoidea,,,,Comatulida,,,,,Antedonacea,,Antedonidae,,,,Caryometra,,tenuipes,,,A. H. Clark,hard substrate,Puerto Rico,386,386,C4; D4,"Pawson, D. L., D. J. Vance, C. G. Messing, F. A. Solis-Marin, and C. L. Mah. 2009. Echinodermata of the Gulf of Mexico, Pp. 1177–1204 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","21, 66",,A. H. Clark,1908,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-71-0004
Spp-71-0005,Coccometra guttata,Animalia,Echinodermata,,Crinoidea,,,,Comatulida,,,,,Antedonacea,,Antedonidae,,,,Coccometra,,guttata,,,A. H. Clark,hard substrate,Cuba,464,464,C4; D4,"Pawson, D. L., D. J. Vance, C. G. Messing, F. A. Solis-Marin, and C. L. Mah. 2009. Echinodermata of the Gulf of Mexico, Pp. 1177–1204 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","21, 66",,A. H. Clark,1918,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-71-0005
Spp-71-0006,Coccometra hagenii,Animalia,Echinodermata,,Crinoidea,,,,Comatulida,,,,,Antedonacea,,Antedonidae,,,,Coccometra,,hagenii,,,Pourtalès,hard substrate,North Carolina to Caribbean,14,1046,C2; C3; C4; C5; D2; D3; D4; D5,"Pawson, D. L., D. J. Vance, C. G. Messing, F. A. Solis-Marin, and C. L. Mah. 2009. Echinodermata of the Gulf of Mexico, Pp. 1177–1204 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","21, 66",,Pourtalès,1867,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-71-0006
Spp-71-0007,Coccometra nigrolineata,Animalia,Echinodermata,,Crinoidea,,,,Comatulida,,,,,Antedonacea,,Antedonidae,,,,Coccometra,,nigrolineata,,,A. H. Clark,hard substrate,"Bahamas, Puerto Rico, Jamaica",40,987,C2; C3; C4; D2; D3; D4,"Pawson, D. L., D. J. Vance, C. G. Messing, F. A. Solis-Marin, and C. L. Mah. 2009. Echinodermata of the Gulf of Mexico, Pp. 1177–1204 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","21, 66",,A. H. Clark,1908,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-71-0007
Spp-71-0008,Comatonia cristata,Animalia,Echinodermata,,Crinoidea,,,,Comatulida,,,,,Antedonacea,,Antedonidae,,,,Comatonia,,cristata,,,Hartlaub,hard substrate; coral reef,North Carolina to Florida,14,366,C2; C3; C4; D2; D3; D4,"Pawson, D. L., D. J. Vance, C. G. Messing, F. A. Solis-Marin, and C. L. Mah. 2009. Echinodermata of the Gulf of Mexico, Pp. 1177–1204 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","14, 62, 66",,Hartlaub,1912,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-71-0008
Spp-71-0009,Ctenantedon kinziei,Animalia,Echinodermata,,Crinoidea,,,,Comatulida,,,,,Antedonacea,,Antedonidae,,,,Ctenantedon,,kinziei,,,Meyer,coral reef,"Bahamas, Jamaica, Panama, Colombia",9,49,G2; H2,"Pawson, D. L., D. J. Vance, C. G. Messing, F. A. Solis-Marin, and C. L. Mah. 2009. Echinodermata of the Gulf of Mexico, Pp. 1177–1204 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","39, 65, 66",,Meyer,1972,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-71-0009
Spp-71-0010,Hypalometra defecta,Animalia,Echinodermata,,Crinoidea,,,,Comatulida,,,,,Antedonacea,,Antedonidae,,,,Hypalometra,,defecta,,,Carpenter,hard substrate,Caribbean to French Guiana,60,400,A2; A3; A4; B2; B3; B4; C2; C3; C4; D2; D3; D4,"Pawson, D. L., D. J. Vance, C. G. Messing, F. A. Solis-Marin, and C. L. Mah. 2009. Echinodermata of the Gulf of Mexico, Pp. 1177–1204 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","21, 66",,Carpenter,1888,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-71-0010
