Species number,Scientific name,Kingdom,Phylum,Subphylum,Class,Subclass,Infraclass,Superorder,Order,Suborder,Infraorder,Section,Subsection,Superfamily,Above family,Family,Subfamily,Tribe,Supergenus,Genus,Subgenus,Species,Subspecies,Synonyms,Scientific name author,Habitat-Biology,Overall geographic range,Min depth (m),Max depth (m),Polygon,Source,References,Endnotes,Author,Year,Changes from the book,URL
Spp-60-0001,Neodasys cirritus,Animalia,Gastrotricha,,,,,,Chaetonotida,Multitubulatina,,,,,,Neodasyidae,,,,Neodasys,,cirritus,,,"Evans,",benthic; beach and shoreline; interstitial,northwestern Atlantic Ocean,0,2,A1; B1,"Hochberg, R. 2009. Gastrotricha of the Gulf of Mexico, Pp. 1105–1110 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","7, 18",,Evans,1992,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-60-0001
Spp-60-0002,Aspidiophorus mediterraneus,Animalia,Gastrotricha,,,,,,Chaetonotida,Paucitubulatina,,,,,,Chaetonotidae,,,,Aspidiophorus,,mediterraneus,,,"Remane,",benthic; beach and shoreline; interstitial,"northeastern/northwestern/southeastern Atlantic Ocean, Mediterranean Sea, Red Sea, Indian Ocean",0,2,A1; B1; G1; H1,"Hochberg, R. 2009. Gastrotricha of the Gulf of Mexico, Pp. 1105–1110 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","7, 18",,Remane,1927,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-60-0002
Spp-60-0003,Aspidiophorus paramediterraneus,Animalia,Gastrotricha,,,,,,Chaetonotida,Paucitubulatina,,,,,,Chaetonotidae,,,,Aspidiophorus,,paramediterraneus,,,"Hummon,",benthic; beach and shoreline; interstitial,"northeastern/northwestern/southeastern Atlantic Ocean, Mediterranean Sea, Red Sea, Indian Ocean",1.5,2,A1; B1,"Hochberg, R. 2009. Gastrotricha of the Gulf of Mexico, Pp. 1105–1110 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","7, 18",,Hummon,1974,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-60-0003
Spp-60-0004,Chaetonotus apolemmus,Animalia,Gastrotricha,,,,,,Chaetonotida,Paucitubulatina,,,,,,Chaetonotidae,,,,Chaetonotus,,apolemmus,,,"Hummon, Balsamo and Todaro,",benthic; beach and shoreline; interstitial,"Mediterranean Sea, Red Sea, Indian Ocean",1.5,2,A1; B1,"Hochberg, R. 2009. Gastrotricha of the Gulf of Mexico, Pp. 1105–1110 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","7, 18",,"Hummon, Balsamo & Todaro",1992,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-60-0004
Spp-60-0005,Chaetonotus atrox,Animalia,Gastrotricha,,,,,,Chaetonotida,Paucitubulatina,,,,,,Chaetonotidae,,,,Chaetonotus,,atrox,,,"Wilke,",benthic; beach and shoreline; interstitial,"northeastern/northwestern Atlantic Ocean, northwestern Pacific Ocean, Indian Ocean, Mediterranean Sea, Red Sea",0,2,A1; B1,"Hochberg, R. 2009. Gastrotricha of the Gulf of Mexico, Pp. 1105–1110 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","7, 18",,Wilke,1954,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-60-0005
Spp-60-0006,Chaetonotus dispar,Animalia,Gastrotricha,,,,,,Chaetonotida,Paucitubulatina,,,,,,Chaetonotidae,,,,Chaetonotus,,dispar,,,"Wilke,",benthic; beach and shoreline; interstitial,"northeastern/northwestern Atlantic Ocean, Baltic, Mediterranean Sea, Red Sea",1.5,2,A1; B1,"Hochberg, R. 2009. Gastrotricha of the Gulf of Mexico, Pp. 1105–1110 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","7, 18",,Wilke,1954,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-60-0006
Spp-60-0007,Chaetonotus sagittarius,Animalia,Gastrotricha,,,,,,Chaetonotida,Paucitubulatina,,,,,,Chaetonotidae,,,,Chaetonotus,,sagittarius,,,"Evans,",benthic; beach and shoreline; interstitial,northeastern/northwestern Florida,0,0,A1; B1,"Hochberg, R. 2009. Gastrotricha of the Gulf of Mexico, Pp. 1105–1110 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","7, 18",,Evans,1992,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-60-0007
Spp-60-0008,Chaetonotus triacanthus,Animalia,Gastrotricha,,,,,,Chaetonotida,Paucitubulatina,,,,,,Chaetonotidae,,,,Chaetonotus,,triacanthus,,,"Todaro,",benthic; beach and shoreline; interstitial,"Louisiana, Texas",0,0,A1; B1; G1; H1,"Hochberg, R. 2009. Gastrotricha of the Gulf of Mexico, Pp. 1105–1110 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","7, 17, 18",,Todaro,1994,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-60-0008
Spp-60-0009,Halichaetonotus aculifer,Animalia,Gastrotricha,,,,,,Chaetonotida,Paucitubulatina,,,,,,Chaetonotidae,,,,Halichaetonotus,,aculifer,,,"Gerlach,",benthic; beach and shoreline; interstitial,"northeastern/northwestern Atlantic Ocean, Baltic, Mediterranean Sea, Red Sea",0,2,A1; B1,"Hochberg, R. 2009. Gastrotricha of the Gulf of Mexico, Pp. 1105–1110 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","7, 18",,Gerlach,1953,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-60-0009
Spp-60-0010,Halichaetonots decipiens,Animalia,Gastrotricha,,,,,,Chaetonotida,Paucitubulatina,,,,,,Chaetonotidae,,,,Halichaetonots,,decipiens,,,"Remane,",benthic; beach and shoreline; interstitial,"northeastern/northwestern Atlantic Ocean, Baltic, Mediterranean Sea, Red Sea",0,2,G1; H1,"Hochberg, R. 2009. Gastrotricha of the Gulf of Mexico, Pp. 1105–1110 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","7, 18",,Remane,1929,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-60-0010
