Species number,Scientific name,Kingdom,Phylum,Subphylum,Class,Subclass,Infraclass,Superorder,Order,Suborder,Infraorder,Section,Subsection,Superfamily,Above family,Family,Subfamily,Tribe,Supergenus,Genus,Subgenus,Species,Subspecies,Synonyms,Scientific name author,Habitat-Biology,Overall geographic range,Min depth (m),Max depth (m),Polygon,Source,References,Endnotes,Author,Year,Changes from the book,URL
Spp-26-0003,Haplognathia rosea,Animalia,Gnathostomulida,,,,,,Filospermoidea,,,,,,,Haplognathiidae,,,,Haplognathia,,rosea,,,"Sterrer,","interstitial; bay and nearshore; soft substrate (muds, sands, clays)",Cosmopolitan,0,0.4,C1; D1,"Sørensen, M. V. and W. Sterrer. 2009. Gnathostomulida of the Gulf of Mexico, Pp. 529–532 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","17, 25, 26",,Sterrer,1969,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-26-0003
Spp-26-0004,Haplognathia ruberrima,Animalia,Gnathostomulida,,,,,,Filospermoidea,,,,,,,Haplognathiidae,,,,Haplognathia,,ruberrima,,,"Sterrer,","interstitial; bay and nearshore; soft substrate (muds, sands, clays)",Cosmopolitan,0,0.5,A1; B1; C1; D1,"Sørensen, M. V. and W. Sterrer. 2009. Gnathostomulida of the Gulf of Mexico, Pp. 529–532 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","16, 25, 26",,Sterrer,1966,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-26-0004
Spp-26-0005,Haplognathia cf. ruberrima,Animalia,Gnathostomulida,,,,,,Filospermoidea,,,,,,,Haplognathiidae,,,,Haplognathia,,cf. ruberrima,,,"Sterrer,","interstitial; soft substrate (muds, sands, clays)",Cosmopolitan,72,72,G3; H3,"Sørensen, M. V. and W. Sterrer. 2009. Gnathostomulida of the Gulf of Mexico, Pp. 529–532 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",7,1,Sterrer,1966,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-26-0005
Spp-26-0007,Cosmognathia aquila,Animalia,Gnathostomulida,,,,,,Filospermoidea,,,,,,,Pterognathiidae,,,,Cosmognathia,,aquila,,,"Sterrer,","interstitial; bay and nearshore; soft substrate (muds, sands, clays)","Gulf of Mexico, Caribbean",0,0,C1; D1,"Sørensen, M. V. and W. Sterrer. 2009. Gnathostomulida of the Gulf of Mexico, Pp. 529–532 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","25, 26",,Sterrer,1998,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-26-0007
Spp-26-0008,Cosmognathia arcus,Animalia,Gnathostomulida,,,,,,Filospermoidea,,,,,,,Pterognathiidae,,,,Cosmognathia,,arcus,,,"Sterrer,","interstitial; bay and nearshore; soft substrate (muds, sands, clays)",Circumtropical,0,0,C1; D1,"Sørensen, M. V. and W. Sterrer. 2009. Gnathostomulida of the Gulf of Mexico, Pp. 529–532 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","23, 24, 25, 26, 27",,Sterrer,1991,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-26-0008
Spp-26-0009,Pterognathia crocodilus,Animalia,Gnathostomulida,,,,,,Filospermoidea,,,,,,,Pterognathiidae,,,,Pterognathia,,crocodilus,,,"Sterrer,","interstitial; bay and nearshore; soft substrate (muds, sands, clays)",Circumtropical,0,0,C1; D1,"Sørensen, M. V. and W. Sterrer. 2009. Gnathostomulida of the Gulf of Mexico, Pp. 529–532 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","23, 25, 26",,Sterrer,1991,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-26-0009
Spp-26-0010,Pterognathia ctenifera,Animalia,Gnathostomulida,,,,,,Filospermoidea,,,,,,,Pterognathiidae,,,,Pterognathia,,ctenifera,,,"Sterrer,","interstitial; bay and nearshore; soft substrate (muds, sands, clays)",Circumtropical,0,0,C1; D1,"Sørensen, M. V. and W. Sterrer. 2009. Gnathostomulida of the Gulf of Mexico, Pp. 529–532 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","18, 23, 24, 25, 26",,Sterrer,1970,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-26-0010
Spp-26-0014,Austrognatharia medusifera,Animalia,Gnathostomulida,,,,,,Bursovaginoidea,Conophoralia,,,,,,Austrognathiidae,,,,Austrognatharia,,medusifera,,,"Sterrer,","interstitial; bay and nearshore; soft substrate (muds, sands, clays)","Gulf of Mexico, Caribbean",0.4,3,C1; D1,"Sørensen, M. V. and W. Sterrer. 2009. Gnathostomulida of the Gulf of Mexico, Pp. 529–532 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","25, 26",,Sterrer,1998,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-26-0014
Spp-26-0015,Austrognatharia stirialis,Animalia,Gnathostomulida,,,,,,Bursovaginoidea,Conophoralia,,,,,,Austrognathiidae,,,,Austrognatharia,,stirialis,,,"Sterrer,","interstitial; bay and nearshore; soft substrate (muds, sands, clays)",Northwest Atlantic,0.5,0.5,C1; D1,"Sørensen, M. V. and W. Sterrer. 2009. Gnathostomulida of the Gulf of Mexico, Pp. 529–532 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",25,,Sterrer,1998,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-26-0015
Spp-26-0016,Austrognatharia strunki,Animalia,Gnathostomulida,,,,,,Bursovaginoidea,Conophoralia,,,,,,Austrognathiidae,,,,Austrognatharia,,strunki,,,"Farris,","interstitial; bay and nearshore; soft substrate (muds, sands, clays)",Northwest Atlantic,3,3,C1; D1,"Sørensen, M. V. and W. Sterrer. 2009. Gnathostomulida of the Gulf of Mexico, Pp. 529–532 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","3, 25, 26",,Farris,1973,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-26-0016
Spp-26-0017,Austrognathia christianae,Animalia,Gnathostomulida,,,,,,Bursovaginoidea,Conophoralia,,,,,,Austrognathiidae,,,,Austrognathia,,christianae,,,"Farris,","interstitial; bay and nearshore; soft substrate (muds, sands, clays)","Northwest Atlantic, Southwest Pacific",0.5,3,C1; D1,"Sørensen, M. V. and W. Sterrer. 2009. Gnathostomulida of the Gulf of Mexico, Pp. 529–532 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","4, 25, 26, 27",,Farris,1977,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-26-0017
Spp-26-0020,Agnathiella beckeri,Animalia,Gnathostomulida,,,,,,Bursovaginoidea,Scleroperalia,,,,,,Agnathiellidae,,,,Agnathiella,,beckeri,,,"Sterrer,","interstitial; bay and nearshore; soft substrate (muds, sands, clays); endemic to Gulf of Mexico",Florida Keys,0.3,4,C1; D1,"Sørensen, M. V. and W. Sterrer. 2009. Gnathostomulida of the Gulf of Mexico, Pp. 529–532 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","19, 25",,Sterrer,1971,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-26-0020
Spp-26-0022,Labidognathia longicollis,Animalia,Gnathostomulida,,,,,,Bursovaginoidea,Scleroperalia,,,,,,Mesognathariidae,,,,Labidognathia,,longicollis,,,"Riedl,","interstitial; bay and nearshore; soft substrate (muds, sands, clays)","North Atlantic, Tropical Pacific",0,0.5,C1; D1,"Sørensen, M. V. and W. Sterrer. 2009. Gnathostomulida of the Gulf of Mexico, Pp. 529–532 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","9, 25, 26, 27",,Riedl,1970,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-26-0022
Spp-26-0023,Tenuignathia rikerae,Animalia,Gnathostomulida,,,,,,Bursovaginoidea,Scleroperalia,,,,,,Mesognathariidae,,,,Tenuignathia,,rikerae,,,"Sterrer,","interstitial; bay and nearshore; soft substrate (muds, sands, clays)","Northwest Atlantic, Tropical Pacific",0.5,0.5,C1; D1,"Sørensen, M. V. and W. Sterrer. 2009. Gnathostomulida of the Gulf of Mexico, Pp. 529–532 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","22, 25, 26, 27",,Sterrer,1976,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-26-0023
Spp-26-0025,Onychognathia filifera,Animalia,Gnathostomulida,,,,,,Bursovaginoidea,Scleroperalia,,,,,,Onychognathiidae,,,,Onychognathia,,filifera,,,"Riedl,","interstitial; bay and nearshore; soft substrate (muds, sands, clays)",Northwest Atlantic,0.5,3,C1; D1,"Sørensen, M. V. and W. Sterrer. 2009. Gnathostomulida of the Gulf of Mexico, Pp. 529–532 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","11, 25",,Riedl,1971,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-26-0025
Spp-26-0026,Vampyrognathia horribilis,Animalia,Gnathostomulida,,,,,,Bursovaginoidea,Scleroperalia,,,,,,Onychognathiidae,,,,Vampyrognathia,,horribilis,,,"Sterrer,","interstitial; bay and nearshore; soft substrate (muds, sands, clays); endemic to Gulf of Mexico",Florida Keys,0.5,0.5,C1; D1,"Sørensen, M. V. and W. Sterrer. 2009. Gnathostomulida of the Gulf of Mexico, Pp. 529–532 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",25,,Sterrer,1998,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-26-0026
Spp-26-0027,Nanognathia exigua,Animalia,Gnathostomulida,,,,,,Bursovaginoidea,Scleroperalia,,,,,,Onychognathiidae,,,,Nanognathia,,exigua,,,"Sterrer,","interstitial; bay and nearshore; soft substrate (muds, sands, clays)",Northwest Atlantic,0.5,3,C1; D1,"Sørensen, M. V. and W. Sterrer. 2009. Gnathostomulida of the Gulf of Mexico, Pp. 529–532 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","21, 25",,Sterrer,1973,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-26-0027
Spp-26-0029,Semaeognathia sterreri,Animalia,Gnathostomulida,,,,,,Bursovaginoidea,Scleroperalia,,,,,,Gnathostomulidae,,,,Semaeognathia,,sterreri,,,"Riedl,","interstitial; bay and nearshore; soft substrate (muds, sands, clays)",Northwest Atlantic,0.3,0.3,A1; B1,"Sørensen, M. V. and W. Sterrer. 2009. Gnathostomulida of the Gulf of Mexico, Pp. 529–532 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","10, 25",,Riedl,1970,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-26-0029
Spp-26-0030,Gnathostomula axi,Animalia,Gnathostomulida,,,,,,Bursovaginoidea,Scleroperalia,,,,,,Gnathostomulidae,,,,Gnathostomula,,axi,,,"Kirsteuer,","interstitial; bay and nearshore; soft substrate (muds, sands, clays)",Northwest Atlantic,0.5,3,C1; D1,"Sørensen, M. V. and W. Sterrer. 2009. Gnathostomulida of the Gulf of Mexico, Pp. 529–532 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","5, 25, 26",,Kirsteuer,1964,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-26-0030
Spp-26-0031,Gnathostomula peregrina,Animalia,Gnathostomulida,,,,,,Bursovaginoidea,Scleroperalia,,,,,,Gnathostomulidae,,,,Gnathostomula,,peregrina,,,"Kirsteuer,","interstitial; bay and nearshore; soft substrate (muds, sands, clays)",Northwest Atlantic,0,0,C1; D1,"Sørensen, M. V. and W. Sterrer. 2009. Gnathostomulida of the Gulf of Mexico, Pp. 529–532 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","6, 25, 26",,Kirsteuer,1969,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-26-0031
