Species number,Scientific name,Kingdom,Phylum,Subphylum,Class,Subclass,Infraclass,Superorder,Order,Suborder,Infraorder,Section,Subsection,Superfamily,Above family,Family,Subfamily,Tribe,Supergenus,Genus,Subgenus,Species,Subspecies,Synonyms,Scientific name author,Habitat-Biology,Overall geographic range,Min depth (m),Max depth (m),Polygon,Source,References,Endnotes,Author,Year,Changes from the book,URL
Spp-31-0001,Scutopus sp.,Animalia,Mollusca,,Aplacophora,Chaetodermomorpha (Caudofoveata),,,,,,,,,,Scutopidae,,,,Scutopus,,sp.,,,,benthic,unknown,73,131,G3,"Ivanov, D. L. and A. H. Scheltema. 2009. Aplacophora (Mollusca) of the Gulf of Mexico, Pp. 565–567 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",5,,,,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-31-0001
Spp-31-0002,Chevroderma c,Animalia,Mollusca,,Aplacophora,Chaetodermomorpha (Caudofoveata),,,,,,,,,,Prochaetodermatidae,,,,Chevroderma,,c,,,Ivanov and Scheltema,benthic; endemic to Gulf of Mexico,Gulf of Mexico,357,1032,A4; A5; G4; G5,"Ivanov, D. L. and A. H. Scheltema. 2009. Aplacophora (Mollusca) of the Gulf of Mexico, Pp. 565–567 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",3,,Ivanov & Scheltema,2008,Species description appeared while book was in press; added species name,http://gulfbase.org/biogomx/biospecies.php?species=Spp-31-0002
Spp-31-0003,Claviderma a,Animalia,Mollusca,,Aplacophora,Chaetodermomorpha (Caudofoveata),,,,,,,,,,Prochaetodermatidae,,,,Claviderma,,a,,,Ivanov and Scheltema,benthic,"East Florida, Gulf of Mexico, Guiana",400,1032,A4; A5; G4; G5,"Ivanov, D. L. and A. H. Scheltema. 2009. Aplacophora (Mollusca) of the Gulf of Mexico, Pp. 565–567 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",3,,Ivanov & Scheltema,2008,Species description appeared while book was in press; added species name,http://gulfbase.org/biogomx/biospecies.php?species=Spp-31-0003
Spp-31-0004,Claviderma m,Animalia,Mollusca,,Aplacophora,Chaetodermomorpha (Caudofoveata),,,,,,,,,,Prochaetodermatidae,,,,Claviderma,,m,,,Ivanov and Scheltema,benthic,"Gulf of Mexico, Guiana",353,1825,A4; A5; G4; G5,"Ivanov, D. L. and A. H. Scheltema. 2009. Aplacophora (Mollusca) of the Gulf of Mexico, Pp. 565–567 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",3,,Ivanov & Scheltema,2008,Species description appeared while book was in press; added species name,http://gulfbase.org/biogomx/biospecies.php?species=Spp-31-0004
Spp-31-0005,Niteomica c,Animalia,Mollusca,,Aplacophora,Chaetodermomorpha (Caudofoveata),,,,,,,,,,Prochaetodermatidae,,,,Niteomica,,c,,,Ivanov and Scheltema,benthic,"Cape Hatteras, East Florida, Gulf of Mexico, Guiana",545,1875,A4; A5; G4; G5,"Ivanov, D. L. and A. H. Scheltema. 2009. Aplacophora (Mollusca) of the Gulf of Mexico, Pp. 565–567 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",3,,Ivanov & Scheltema,2008,Species description appeared while book was in press; added species name,http://gulfbase.org/biogomx/biospecies.php?species=Spp-31-0005
Spp-31-0006,Prochaetoderma g,Animalia,Mollusca,,Aplacophora,Chaetodermomorpha (Caudofoveata),,,,,,,,,,Prochaetodermatidae,,,,Prochaetoderma,,g,,,Ivanov and Scheltema,benthic,"Gulf of Mexico, Guiana",334,1032,A4; A5; G4; G5,"Ivanov, D. L. and A. H. Scheltema. 2009. Aplacophora (Mollusca) of the Gulf of Mexico, Pp. 565–567 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",3,,Ivanov & Scheltema,2008,Species description appeared while book was in press; added species name,http://gulfbase.org/biogomx/biospecies.php?species=Spp-31-0006
Spp-31-0007,Genus and species indet.,Animalia,Mollusca,,Aplacophora,Chaetodermomorpha (Caudofoveata),,,,,,,,,,Prochaetodermatidae,,,,Genus and species indet.,,,,,,benthic,unknown,80,131,G3,"Ivanov, D. L. and A. H. Scheltema. 2009. Aplacophora (Mollusca) of the Gulf of Mexico, Pp. 565–567 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",5,1,,,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-31-0007
Spp-31-0008,Spathoderma b,Animalia,Mollusca,,Aplacophora,Chaetodermomorpha (Caudofoveata),,,,,,,,,,Prochaetodermatidae,,,,Spathoderma,,b,,,Ivanov and Scheltema,benthic,"Cape Hatteras, Gulf of Mexico, Guiana",622,3000,A4; A5; G4; G5,"Ivanov, D. L. and A. H. Scheltema. 2009. Aplacophora (Mollusca) of the Gulf of Mexico, Pp. 565–567 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",3,,Ivanov & Scheltema,2008,Species description appeared while book was in press; added species name,http://gulfbase.org/biogomx/biospecies.php?species=Spp-31-0008
Spp-31-0009,Spathoderma q,Animalia,Mollusca,,Aplacophora,Chaetodermomorpha (Caudofoveata),,,,,,,,,,Prochaetodermatidae,,,,Spathoderma,,q,,,Ivanov and Scheltema,benthic; endemic to Gulf of Mexico,Gulf of Mexico,547,1832,A4; A5; G4; G5,"Ivanov, D. L. and A. H. Scheltema. 2009. Aplacophora (Mollusca) of the Gulf of Mexico, Pp. 565–567 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",3,,Ivanov & Scheltema,2008,Species description appeared while book was in press; added species name,http://gulfbase.org/biogomx/biospecies.php?species=Spp-31-0009
Spp-31-0010,Genus and species indet.,Animalia,Mollusca,,Aplacophora,Chaetodermomorpha (Caudofoveata),,,,,,,,,,Chaetodermatidae,,,,Genus and species indet.,,,,,,benthic,unknown,42,131,G2; G3,"Ivanov, D. L. and A. H. Scheltema. 2009. Aplacophora (Mollusca) of the Gulf of Mexico, Pp. 565–567 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",5,2,,,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-31-0010
