Species number,Scientific name,Kingdom,Phylum,Subphylum,Class,Subclass,Infraclass,Superorder,Order,Suborder,Infraorder,Section,Subsection,Superfamily,Above family,Family,Subfamily,Tribe,Supergenus,Genus,Subgenus,Species,Subspecies,Synonyms,Scientific name author,Habitat-Biology,Overall geographic range,Min depth (m),Max depth (m),Polygon,Source,References,Endnotes,Author,Year,Changes from the book,URL
Spp-61-0001,Anoplostoma copano,Animalia,Nematoda,,Enoplea,,,,Enoplida,Enoplina,,,,Enoploidea,,Anoplostomatidae,Anoplostomatinae,,,Anoplostoma,,copano,,,"Chitwood,",sediments; submergent vegetation; endemic to Gulf of Mexico,Gulf of Mexico,0,2,G1,"Hope, W. D. 2009. Free-Living Marine Nematoda of the Gulf of Mexico, Pp. 1111–1123 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",8,,Chitwood,1951,"Added keyword ""endemic to Gulf of Mexico""",http://gulfbase.org/biogomx/biospecies.php?species=Spp-61-0001
Spp-61-0002,Anoplostoma viviparum,Animalia,Nematoda,,Enoplea,,,,Enoplida,Enoplina,,,,Enoploidea,,Anoplostomatidae,Anoplostomatinae,,,Anoplostoma,,viviparum,,,"Bastian,",associated with macrofauna,cosmopolitan,0,2,A1,"Hope, W. D. 2009. Free-Living Marine Nematoda of the Gulf of Mexico, Pp. 1111–1123 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",22,,Bastian,1865,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-61-0002
Spp-61-0003,Anticoma asupplementa,Animalia,Nematoda,,Enoplea,,,,Enoplida,Enoplina,,,,Enoploidea,,Anticomidae,Anticominae,,,Anticoma,,asupplementa,,,"Keppner,",sand; endemic to Gulf of Mexico,Gulf of Mexico,0,2,A1,"Hope, W. D. 2009. Free-Living Marine Nematoda of the Gulf of Mexico, Pp. 1111–1123 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",35,,Keppner,1987,"Added keyword ""endemic to Gulf of Mexico""",http://gulfbase.org/biogomx/biospecies.php?species=Spp-61-0003
Spp-61-0004,Anticomopsis longicaudata,Animalia,Nematoda,,Enoplea,,,,Enoplida,Enoplina,,,,Enoploidea,,Anticomidae,Anticominae,,,Anticomopsis,,longicaudata,,,"Chitwood,",sediments; endemic to Gulf of Mexico,Gulf of Mexico,0,2,G1,"Hope, W. D. 2009. Free-Living Marine Nematoda of the Gulf of Mexico, Pp. 1111–1123 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",8,,Chitwood,1951,"Added keyword ""endemic to Gulf of Mexico""",http://gulfbase.org/biogomx/biospecies.php?species=Spp-61-0004
Spp-61-0005,Enoplolaimus asymmetricus,Animalia,Nematoda,,Enoplea,,,,Enoplida,Enoplina,,,,Enoploidea,,Thoracostomopsidae,Enoplolaiminae,,,Enoplolaimus,,asymmetricus,,,"Keppner,",sediments; endemic to Gulf of Mexico,Gulf of Mexico,0,2,A1,"Hope, W. D. 2009. Free-Living Marine Nematoda of the Gulf of Mexico, Pp. 1111–1123 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",36,,Keppner,1987,"Added keyword ""endemic to Gulf of Mexico""",http://gulfbase.org/biogomx/biospecies.php?species=Spp-61-0005
Spp-61-0006,Enoplolaimus pararegius,Animalia,Nematoda,,Enoplea,,,,Enoplida,Enoplina,,,,Enoploidea,,Thoracostomopsidae,Enoplolaiminae,,,Enoplolaimus,,pararegius,,,"Keppner,",sediments; endemic to Gulf of Mexico,Gulf of Mexico,0,2,A1,"Hope, W. D. 2009. Free-Living Marine Nematoda of the Gulf of Mexico, Pp. 1111–1123 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",35,,Keppner,1987,"Added keyword ""endemic to Gulf of Mexico""",http://gulfbase.org/biogomx/biospecies.php?species=Spp-61-0006
Spp-61-0007,Enoplolaimus punctatus,Animalia,Nematoda,,Enoplea,,,,Enoplida,Enoplina,,,,Enoploidea,,Thoracostomopsidae,Enoplolaiminae,,,Enoplolaimus,,punctatus,,,"Hopper,",sand; endemic to Gulf of Mexico,Gulf of Mexico,0,2,A1,"Hope, W. D. 2009. Free-Living Marine Nematoda of the Gulf of Mexico, Pp. 1111–1123 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",22,,Hopper,1961,"Added keyword ""endemic to Gulf of Mexico""",http://gulfbase.org/biogomx/biospecies.php?species=Spp-61-0007
Spp-61-0008,Enoploides polysetosus,Animalia,Nematoda,,Enoplea,,,,Enoplida,Enoplina,,,,Enoploidea,,Thoracostomopsidae,Enoplolaiminae,,,Enoploides,,polysetosus,,,"Jensen,",dissolved hydrocarbon gases; dissolved hydrogen sulfide; hypersaline; endemic to Gulf of Mexico,Gulf of Mexico,51,200,G2; G3,"Hope, W. D. 2009. Free-Living Marine Nematoda of the Gulf of Mexico, Pp. 1111–1123 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",31,,Jensen,1986,"Added keyword ""endemic to Gulf of Mexico""",http://gulfbase.org/biogomx/biospecies.php?species=Spp-61-0008
Spp-61-0009,Epacanthion oweni,Animalia,Nematoda,,Enoplea,,,,Enoplida,Enoplina,,,,Enoploidea,,Thoracostomopsidae,Enoplolaiminae,,,Epacanthion,,oweni,,,"Keppner,",sand; oyster reefganic matter; endemic to Gulf of Mexico,Gulf of Mexico,0,2,A1,"Hope, W. D. 2009. Free-Living Marine Nematoda of the Gulf of Mexico, Pp. 1111–1123 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",33,,Keppner,1986,"Added keyword ""endemic to Gulf of Mexico""",http://gulfbase.org/biogomx/biospecies.php?species=Spp-61-0009
Spp-61-0010,Mesacanthoides brevicaudatus,Animalia,Nematoda,,Enoplea,,,,Enoplida,Enoplina,,,,Enoploidea,,Thoracostomopsidae,Enoplolaiminae,,,Mesacanthoides,,brevicaudatus,,,"Keppner,",sand; endemic to Gulf of Mexico,Gulf of Mexico,0,2,A1,"Hope, W. D. 2009. Free-Living Marine Nematoda of the Gulf of Mexico, Pp. 1111–1123 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",35,,Keppner,1987,"Added keyword ""endemic to Gulf of Mexico""",http://gulfbase.org/biogomx/biospecies.php?species=Spp-61-0010
