Species number,Scientific name,Kingdom,Phylum,Subphylum,Class,Subclass,Infraclass,Superorder,Order,Suborder,Infraorder,Section,Subsection,Superfamily,Above family,Family,Subfamily,Tribe,Supergenus,Genus,Subgenus,Species,Subspecies,Synonyms,Scientific name author,Habitat-Biology,Overall geographic range,Min depth (m),Max depth (m),Polygon,Source,References,Endnotes,Author,Year,Changes from the book,URL
Spp-29-0002,Carinoma tremaphoros,Animalia,Nemertea,,,,,,Paleonemertea,,,,,,,,,,,Carinoma,,tremaphoros,,,"Thompson,",burrower or borer; estuarine; soft substrate; intertidal to semiterrestrial,Gulf of Mexico to Cape Cod,0,0,A1; B1; G1; H1,"Norenburg, J. L. 2009. Nemertea of the Gulf of Mexico, Pp. 553–558 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","1, 2, 3",,Thompson,1900,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-29-0002
Spp-29-0003,Tubulanus pellucidus,Animalia,Nemertea,,,,,,Paleonemertea,,,,,,,,,,,Tubulanus,,pellucidus,,,"Coe,",bay and nearshore; benthic; tubicolous (tube formers); rubble,"Gulf of Mexico to New England, California",0,20,A1; A2; B1; B2; G1; G2; H1; H2,"Norenburg, J. L. 2009. Nemertea of the Gulf of Mexico, Pp. 553–558 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","1, 2, 3",,Coe,1895,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-29-0003
Spp-29-0004,Tubulanus sp.,Animalia,Nemertea,,,,,,Paleonemertea,,,,,,,,,,,Tubulanus,,sp.,,,,benthic; soft substrate; rubble; endemic to Gulf of Mexico,Gulf of Mexico,59,61,A2; A3; B2; B3,"Norenburg, J. L. 2009. Nemertea of the Gulf of Mexico, Pp. 553–558 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",,1,,,"Added keyword ""endemic to Gulf of Mexico""",http://gulfbase.org/biogomx/biospecies.php?species=Spp-29-0004
Spp-29-0006,Baseodiscus delineatus,Animalia,Nemertea,,,,,,Heteronemertea,,,,,,,,,,,Baseodiscus,,delineatus,,,"Delle Chiaje,",benthic; rubble,"Gulf of Mexico to global, in warm water",47,47,A2; B2,"Norenburg, J. L. 2009. Nemertea of the Gulf of Mexico, Pp. 553–558 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",,2,Delle Chiaje,1825,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-29-0006
Spp-29-0007,Baseodiscus sp.,Animalia,Nemertea,,,,,,Heteronemertea,,,,,,,,,,,Baseodiscus,,sp.,,,,benthic; infaunal; endemic to Gulf of Mexico,Gulf of Mexico,39,39,A2; B2,"Norenburg, J. L. 2009. Nemertea of the Gulf of Mexico, Pp. 553–558 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",,3,,,"Added keyword ""endemic to Gulf of Mexico""",http://gulfbase.org/biogomx/biospecies.php?species=Spp-29-0007
Spp-29-0008,Cerebratulus lacteus,Animalia,Nemertea,,,,,,Heteronemertea,,,,,,,,,,,Cerebratulus,,lacteus,,,"Leidy,",burrower or borer; bay and nearshore; soft substrate,Gulf of Mexico to Nova Scotia,0,0,A1; B1; G1; H1,"Norenburg, J. L. 2009. Nemertea of the Gulf of Mexico, Pp. 553–558 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","1, 2, 3",,Leidy,1851,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-29-0008
Spp-29-0009,Cerebratulus leucopsis,Animalia,Nemertea,,,,,,Heteronemertea,,,,,,,,,,,Cerebratulus,,leucopsis,,,"Coe,",benthic; infaunal,Gulf of Mexico to Curaçao,0,21,C1; C2; D1; D2,"Norenburg, J. L. 2009. Nemertea of the Gulf of Mexico, Pp. 553–558 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",1,,Coe,1901,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-29-0009
Spp-29-0010,Cerebratulus sp.,Animalia,Nemertea,,,,,,Heteronemertea,,,,,,,,,,,Cerebratulus,,sp.,,,,infaunal; soft substrate; endemic to Gulf of Mexico,Gulf of Mexico,61,75,A3; B3,"Norenburg, J. L. 2009. Nemertea of the Gulf of Mexico, Pp. 553–558 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",,4,,,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-29-0010
Spp-29-0011,Cerebratulus sp.,Animalia,Nemertea,,,,,,Heteronemertea,,,,,,,,,,,Cerebratulus,,sp.,,,,infaunal; soft substrate; endemic to Gulf of Mexico,Gulf of Mexico,60,60,A2; B2,"Norenburg, J. L. 2009. Nemertea of the Gulf of Mexico, Pp. 553–558 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",,5,,,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-29-0011
Spp-29-0012,Dushia atra,Animalia,Nemertea,,,,,,Heteronemertea,,,,,,,,,,,Dushia,,atra,,,"Girard,",burrower or borer; intertidal to semiterrestrial; bay and nearshore; soft substrate,Gulf of Mexico to Curaçao,0,0,A1; B1,"Norenburg, J. L. 2009. Nemertea of the Gulf of Mexico, Pp. 553–558 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",3,,Girard,1851,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-29-0012
Spp-29-0013,Fragilonemertes rosea,Animalia,Nemertea,,,,,,Heteronemertea,,,,,,,,,,,Fragilonemertes,,rosea,,,"Leidy,",burrower or borer; bay and nearshore; soft substrate,Gulf of Mexico to New England,0,0,A1; B1; G1; H1,"Norenburg, J. L. 2009. Nemertea of the Gulf of Mexico, Pp. 553–558 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","1, 2, 3",,Leidy,1851,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-29-0013
Spp-29-0014,Gorgonorhynchus bermudensis,Animalia,Nemertea,,,,,,Heteronemertea,,,,,,,,,,,Gorgonorhynchus,,bermudensis,,,"Wheeler,",burrower or borer; bay and nearshore; soft substrate; intertidal to semiterrestrial,Gulf of Mexico to Bermuda,0,0,C1; D1,"Norenburg, J. L. 2009. Nemertea of the Gulf of Mexico, Pp. 553–558 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",8,,Wheeler,1940,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-29-0014
Spp-29-0015,Heteroenopleus enigmaticus,Animalia,Nemertea,,,,,,Heteronemertea,,,,,,,,,,,Heteroenopleus,,enigmaticus,,,"Wern,",bay and nearshore; infaunal; soft substrate; endemic to Gulf of Mexico,Gulf of Mexico,0,21,G1; G2; H1; H2,"Norenburg, J. L. 2009. Nemertea of the Gulf of Mexico, Pp. 553–558 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",14,,Wern,1998,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-29-0015
Spp-29-0016,"""Lineus"" sp.",Animalia,Nemertea,,,,,,Heteronemertea,,,,,,,,,,,"""Lineus""",,sp.,,,,benthic; soft substrate; endemic to Gulf of Mexico,Gulf of Mexico,38,38,A2; B2,"Norenburg, J. L. 2009. Nemertea of the Gulf of Mexico, Pp. 553–558 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",,6,,,"Added keyword ""endemic to Gulf of Mexico""",http://gulfbase.org/biogomx/biospecies.php?species=Spp-29-0016
Spp-29-0017,"""Micrura"" sp.",Animalia,Nemertea,,,,,,Heteronemertea,,,,,,,,,,,"""Micrura""",,sp.,,,,benthic; rubble; endemic to Gulf of Mexico,Gulf of Mexico,58,58,A2,"Norenburg, J. L. 2009. Nemertea of the Gulf of Mexico, Pp. 553–558 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",,7,,,"Added keyword ""endemic to Gulf of Mexico""",http://gulfbase.org/biogomx/biospecies.php?species=Spp-29-0017
Spp-29-0018,Notospermus cf. tricuspidatus,Animalia,Nemertea,,,,,,Heteronemertea,,,,,,,,,,,Notospermus,,cf. tricuspidatus,,,"Quoy and Gaimard,",benthic; rubble,"Gulf of Mexico to global, in warm water",48,48,A2; B2,"Norenburg, J. L. 2009. Nemertea of the Gulf of Mexico, Pp. 553–558 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",,8,Quoy & Gaimard,1833,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-29-0018
Spp-29-0019,Rhamphogordius sanguineus,Animalia,Nemertea,,,,,,Heteronemertea,,,,,,,,,,,Rhamphogordius,,sanguineus,,,"Rathke,",beach and shoreline; epibiotic; rubble; intertidal to semiterrestrial,"Gulf of Mexico to Nova Scotia, Europe",0,0,A1; B1; G1; H1,"Norenburg, J. L. 2009. Nemertea of the Gulf of Mexico, Pp. 553–558 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","1, 2, 3",,Rathke,1799,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-29-0019
Spp-29-0020,Zygeupolia rubens,Animalia,Nemertea,,,,,,Heteronemertea,,,,,,,,,,,Zygeupolia,,rubens,,,"Coe,",burrower or borer; bay and nearshore; estuarine; soft substrate,Gulf of Mexico to Cape Cod,0,0,A1; B1; G1; H1,"Norenburg, J. L. 2009. Nemertea of the Gulf of Mexico, Pp. 553–558 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","1, 2, 3",,Coe,1895,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-29-0020
Spp-29-0023,Amphiporus cruentatus,Animalia,Nemertea,,,,,,Hoplonemertea,Monostilifera,,,,,,,,,,Amphiporus,,cruentatus,,,"Verrill,",bay and nearshore; benthic; rubble,"Gulf of Mexico to New England, Washington to Mexico",0,0,A1; B1; G1; H1,"Norenburg, J. L. 2009. Nemertea of the Gulf of Mexico, Pp. 553–558 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","1, 2, 3",,Verrill,1879,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-29-0023
Spp-29-0024,Amphiporus ochraceus,Animalia,Nemertea,,,,,,Hoplonemertea,Monostilifera,,,,,,,,,,Amphiporus,,ochraceus,,,"Verrill,",bay and nearshore; benthic; rubble,Gulf of Mexico to New England,0,0,A1; B1; G1; H1,"Norenburg, J. L. 2009. Nemertea of the Gulf of Mexico, Pp. 553–558 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","1, 2, 3",,Verrill,1873,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-29-0024
Spp-29-0025,Amphiporus texanus,Animalia,Nemertea,,,,,,Hoplonemertea,Monostilifera,,,,,,,,,,Amphiporus,,texanus,,,"Coe,",bay and nearshore; benthic; rubble; hard substrate,Gulf of Mexico to Southeast Florida,0,0,A1; B1; G1; H1,"Norenburg, J. L. 2009. Nemertea of the Gulf of Mexico, Pp. 553–558 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","1, 2, 3",,Coe,1951,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-29-0025
Spp-29-0026,Carcinonemertes carcinophila,Animalia,Nemertea,,,,,,Hoplonemertea,Monostilifera,,,,,,,,,,Carcinonemertes,,carcinophila,,,"Kölliker,",bay and nearshore; epibiotic; symbiotic,"Gulf of Mexico to Cape Cod, Brazil, Europe",,,A1; A2; A3; B1; B2; B3; G1; G2; G3; H1; H2; H3,"Norenburg, J. L. 2009. Nemertea of the Gulf of Mexico, Pp. 553–558 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","1, 2, 3, 12, 13",9,Kölliker,1845,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-29-0026
Spp-29-0027,Carcinonemertes sp.,Animalia,Nemertea,,,,,,Hoplonemertea,Monostilifera,,,,,,,,,,Carcinonemertes,,sp.,,,,bay and nearshore; epibiotic; symbiotic; endemic to Gulf of Mexico,Gulf of Mexico,,,A1; A2; A3; B1; B2; B3,"Norenburg, J. L. 2009. Nemertea of the Gulf of Mexico, Pp. 553–558 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",,10,,,"Added keyword ""endemic to Gulf of Mexico""",http://gulfbase.org/biogomx/biospecies.php?species=Spp-29-0027
Spp-29-0028,Carcinonemertes sp.,Animalia,Nemertea,,,,,,Hoplonemertea,Monostilifera,,,,,,,,,,Carcinonemertes,,sp.,,,,bay and nearshore; epibiotic; symbiotic; endemic to Gulf of Mexico,Gulf of Mexico,,,C1; C2; C3,"Norenburg, J. L. 2009. Nemertea of the Gulf of Mexico, Pp. 553–558 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",,11,,,"Added keyword ""endemic to Gulf of Mexico""",http://gulfbase.org/biogomx/biospecies.php?species=Spp-29-0028
Spp-29-0029,Carcinonemertes spp.,Animalia,Nemertea,,,,,,Hoplonemertea,Monostilifera,,,,,,,,,,Carcinonemertes,,spp.,,,,deep sea; demersal; symbiotic; endemic to Gulf of Mexico,Gulf of Mexico,,,A4; A5; A6; B4; B5; B6,"Norenburg, J. L. 2009. Nemertea of the Gulf of Mexico, Pp. 553–558 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",,12,,,"Added keyword ""endemic to Gulf of Mexico""",http://gulfbase.org/biogomx/biospecies.php?species=Spp-29-0029
Spp-29-0030,"""Cratenemertes"" sp.",Animalia,Nemertea,,,,,,Hoplonemertea,Monostilifera,,,,,,,,,,"""Cratenemertes""",,sp.,,,,benthic; rubble,Gulf of Mexico to Caribbean?,47,47,A2; B2,"Norenburg, J. L. 2009. Nemertea of the Gulf of Mexico, Pp. 553–558 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",,13,,,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-29-0030
Spp-29-0031,Emplectonema sp.,Animalia,Nemertea,,,,,,Hoplonemertea,Monostilifera,,,,,,,,,,Emplectonema,,sp.,,,,benthic; rubble; endemic to Gulf of Mexico,Gulf of Mexico,71,71,A3; B3,"Norenburg, J. L. 2009. Nemertea of the Gulf of Mexico, Pp. 553–558 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",,14,,,"Added keyword ""endemic to Gulf of Mexico""",http://gulfbase.org/biogomx/biospecies.php?species=Spp-29-0031
Spp-29-0032,Malacobdella grossa,Animalia,Nemertea,,,,,,Hoplonemertea,Monostilifera,,,,,,,,,,Malacobdella,,grossa,,,"Müller,",benthic; bay and nearshore; symbiotic,"Gulf of Mexico to Nova Scotia, Europe",,,A1; A2; A3; B1; B2; B3; G1; G2; G3; H1; H2; H3,"Norenburg, J. L. 2009. Nemertea of the Gulf of Mexico, Pp. 553–558 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","1, 2, 3",15,Müller,1776,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-29-0032
Spp-29-0033,Oerstedia dorsalis,Animalia,Nemertea,,,,,,Hoplonemertea,Monostilifera,,,,,,,,,,Oerstedia,,dorsalis,,,"Abildgaard,",bay and nearshore; benthic; rubble,"Gulf of Mexico to Nova Scotia, Europe",0,0,A1; B1; C1; D1; G1; H1,"Norenburg, J. L. 2009. Nemertea of the Gulf of Mexico, Pp. 553–558 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","1, 2, 3, 4",,Abildgaard,1806,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-29-0033
Spp-29-0034,Ototyphlonemertes cf. duplex,Animalia,Nemertea,,,,,,Hoplonemertea,Monostilifera,,,,,,,,,,Ototyphlonemertes,,cf. duplex,,,"Bürger,",beach and shoreline; interstitial; intertidal to semiterrestrial,"E and W Florida, Caribbean",0,0,A1; B1,"Norenburg, J. L. 2009. Nemertea of the Gulf of Mexico, Pp. 553–558 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",8,,Bürger,1895,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-29-0034
Spp-29-0035,Ototyphlonemertes evelinae,Animalia,Nemertea,,,,,,Hoplonemertea,Monostilifera,,,,,,,,,,Ototyphlonemertes,,evelinae,,,"Corrêa,",beach and shoreline; interstitial; intertidal to semiterrestrial,"E and W Florida, Caribbean, Brazil",0,0,A1; B1,"Norenburg, J. L. 2009. Nemertea of the Gulf of Mexico, Pp. 553–558 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",4,,Corrêa,1948,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-29-0035
Spp-29-0036,Ototyphlonemertes cf. fila,Animalia,Nemertea,,,,,,Hoplonemertea,Monostilifera,,,,,,,,,,Ototyphlonemertes,,cf. fila,,,"Corrêa,",beach and shoreline; interstitial; intertidal to semiterrestrial,"E and W Florida, Caribbean",0,0,A1; B1,"Norenburg, J. L. 2009. Nemertea of the Gulf of Mexico, Pp. 553–558 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",8,,Corrêa,1953,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-29-0036
Spp-29-0037,Paranemertes biocellatus,Animalia,Nemertea,,,,,,Hoplonemertea,Monostilifera,,,,,,,,,,Paranemertes,,biocellatus,,,"Coe,",burrower or borer; bay and nearshore; soft substrate,Gulf of Mexico to Southeast Florida,0,0,A1; B1,"Norenburg, J. L. 2009. Nemertea of the Gulf of Mexico, Pp. 553–558 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","1, 2, 3",,Coe,1944,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-29-0037
Spp-29-0038,Poseidonemertes sp.,Animalia,Nemertea,,,,,,Hoplonemertea,Monostilifera,,,,,,,,,,Poseidonemertes,,sp.,,,,benthic; infaunal; endemic to Gulf of Mexico,Gulf of Mexico,58,58,A2; B2,"Norenburg, J. L. 2009. Nemertea of the Gulf of Mexico, Pp. 553–558 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",,16,,,"Added keyword ""endemic to Gulf of Mexico""",http://gulfbase.org/biogomx/biospecies.php?species=Spp-29-0038
Spp-29-0039,Tetrastemma candidum,Animalia,Nemertea,,,,,,Hoplonemertea,Monostilifera,,,,,,,,,,Tetrastemma,,candidum,,,"Müller,",bay and nearshore; benthic; rubble,"Gulf of Mexico to Labrador, Europe, Pacific",0,0,A1; B1; C1; D1; G1; H1,"Norenburg, J. L. 2009. Nemertea of the Gulf of Mexico, Pp. 553–558 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","1, 2, 3, 4",,Müller,1774,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-29-0039
Spp-29-0040,Tetrastemma vermiculus,Animalia,Nemertea,,,,,,Hoplonemertea,Monostilifera,,,,,,,,,,Tetrastemma,,vermiculus,,,"Quatrefages,",bay and nearshore; benthic; rubble,"Gulf of Mexico to Nova Scotia, Europe",0,0,A1; B1; G1; H1,"Norenburg, J. L. 2009. Nemertea of the Gulf of Mexico, Pp. 553–558 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","1, 2, 3",,Quatrefages,1846,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-29-0040
Spp-29-0041,Tetrastemma worki,Animalia,Nemertea,,,,,,Hoplonemertea,Monostilifera,,,,,,,,,,Tetrastemma,,worki,,,"Corrêa,",bay and nearshore; benthic; rubble,Gulf of Mexico to Southeast Florida,0,0,A1; B1; C1; D1; G1; H1,"Norenburg, J. L. 2009. Nemertea of the Gulf of Mexico, Pp. 553–558 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","1, 2, 3, 4",,Corrêa,1961,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-29-0041
Spp-29-0042,Tetrastemma sp.,Animalia,Nemertea,,,,,,Hoplonemertea,Monostilifera,,,,,,,,,,Tetrastemma,,sp.,,,,benthic; rubble; endemic to Gulf of Mexico,Gulf of Mexico,43,43,A2; B2,"Norenburg, J. L. 2009. Nemertea of the Gulf of Mexico, Pp. 553–558 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",,17,,,"Added keyword ""endemic to Gulf of Mexico""",http://gulfbase.org/biogomx/biospecies.php?species=Spp-29-0042
Spp-29-0043,Zygonemertes virescens,Animalia,Nemertea,,,,,,Hoplonemertea,Monostilifera,,,,,,,,,,Zygonemertes,,virescens,,,"Verrill,",bay and nearshore; benthic; rubble,"Gulf of Mexico to Nova Scotia, Pacific",0,0,A1; B1; C1; D1; G1; H1,"Norenburg, J. L. 2009. Nemertea of the Gulf of Mexico, Pp. 553–558 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","1, 2, 3, 4",,Verrill,1879,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-29-0043
Spp-29-0044,Zygonemertes sp.,Animalia,Nemertea,,,,,,Hoplonemertea,Monostilifera,,,,,,,,,,Zygonemertes,,sp.,,,,hard substrate; endemic to Gulf of Mexico,Gulf of Mexico,1,1,A1; B1,"Norenburg, J. L. 2009. Nemertea of the Gulf of Mexico, Pp. 553–558 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",,18,,,"Added keyword ""endemic to Gulf of Mexico""",http://gulfbase.org/biogomx/biospecies.php?species=Spp-29-0044
Spp-29-0046,Paradrepanophorus crassus,Animalia,Nemertea,,,,,,Hoplonemertea,Polystilifera,,,,,,,,,,Paradrepanophorus,,crassus,,,"Quatrefages,",demersal,"Gulf of Mexico to global, warm water",1,1,C1; D1,"Norenburg, J. L. 2009. Nemertea of the Gulf of Mexico, Pp. 553–558 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",1,,Quatrefages,1846,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-29-0046
