Species number,Scientific name,Kingdom,Phylum,Subphylum,Class,Subclass,Infraclass,Superorder,Order,Suborder,Infraorder,Section,Subsection,Superfamily,Above family,Family,Subfamily,Tribe,Supergenus,Genus,Subgenus,Species,Subspecies,Synonyms,Scientific name author,Habitat-Biology,Overall geographic range,Min depth (m),Max depth (m),Polygon,Source,References,Endnotes,Author,Year,Changes from the book,URL
Spp-22-0014,Paracatenula kalliope,Animalia,Platyhelminthes,,Catenulida,,,,,,,,,,,Retronectidae,,,,Paracatenula,,kalliope,,,"Sterrer and Rieger,",benthic; beach and shoreline; interstitial,"Florida, Bermuda",4,4,C1; D1,"Hooge, M. D. and L. J. Newman. 2009. Turbellarians (Acoelomorpha and Free-Living Platyhelminthes) of the Gulf of Mexico, Pp. 413–418 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","19, 20",,Sterrer & Rieger,1974,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-22-0014
Spp-22-0015,Paracatenula polyhymnia,Animalia,Platyhelminthes,,Catenulida,,,,,,,,,,,Retronectidae,,,,Paracatenula,,polyhymnia,,,"Sterrer and Rieger,",benthic; beach and shoreline; interstitial,"Florida, Belize",4,4,C1; D1,"Hooge, M. D. and L. J. Newman. 2009. Turbellarians (Acoelomorpha and Free-Living Platyhelminthes) of the Gulf of Mexico, Pp. 413–418 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","19, 20",,Sterrer & Rieger,1974,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-22-0015
Spp-22-0020,Phaenocelis purpurea,Animalia,Platyhelminthes,,Rhabditophora,,,,Polycladida,Acotylea,,,,,,Cryptocelididae,,,,Phaenocelis,,purpurea,,,"Schmarda,",benthic; beach and shoreline; hard substrate,"Florida, Caribbean",0,1,A1; B1,"Hooge, M. D. and L. J. Newman. 2009. Turbellarians (Acoelomorpha and Free-Living Platyhelminthes) of the Gulf of Mexico, Pp. 413–418 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","5, 6, 7, 8, 9, 10",,Schmarda,1859,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-22-0020
Spp-22-0022,Coronadena mutabilis,Animalia,Platyhelminthes,,Rhabditophora,,,,Polycladida,Acotylea,,,,,,Discocelididae,,,,Coronadena,,mutabilis,,,"Verrill,",benthic; pelagic,Florida to Massachusetts,0,2,A1; B1,"Hooge, M. D. and L. J. Newman. 2009. Turbellarians (Acoelomorpha and Free-Living Platyhelminthes) of the Gulf of Mexico, Pp. 413–418 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","4, 7, 17",,Verrill,1873,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-22-0022
Spp-22-0024,Enantia pellucida,Animalia,Platyhelminthes,,Rhabditophora,,,,Polycladida,Acotylea,,,,,,Enantiidae,,,,Enantia,,pellucida,,,"Pearse,",benthic; beach and shoreline,"Apalachicola Bay, Florida",0,3,A1; B1,"Hooge, M. D. and L. J. Newman. 2009. Turbellarians (Acoelomorpha and Free-Living Platyhelminthes) of the Gulf of Mexico, Pp. 413–418 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","4, 7, 17",,Pearse,1938,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-22-0024
Spp-22-0026,Gnesioceros floridana,Animalia,Platyhelminthes,,Rhabditophora,,,,Polycladida,Acotylea,,,,,,Gnesioceridae,,,,Gnesioceros,,floridana,,,"Pearse,",benthic; beach and shoreline,Northwest Atlantic,,,A1; A2; A3; B1; B2; B3; G1; G2; G3; H1; H2; H3,"Hooge, M. D. and L. J. Newman. 2009. Turbellarians (Acoelomorpha and Free-Living Platyhelminthes) of the Gulf of Mexico, Pp. 413–418 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","4, 7, 9, 17",,Pearse,1938,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-22-0026
Spp-22-0027,Gnesioceros sargassicola,Animalia,Platyhelminthes,,Rhabditophora,,,,Polycladida,Acotylea,,,,,,Gnesioceridae,,,,Gnesioceros,,sargassicola,,,"Mertens,",epibiotic; coastal surface and epipelagic,"Northwest Atlantic, Caribbean",0,0,A1; B1; C1; D1; E1; F1; G1; H1,"Hooge, M. D. and L. J. Newman. 2009. Turbellarians (Acoelomorpha and Free-Living Platyhelminthes) of the Gulf of Mexico, Pp. 413–418 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","3, 7, 9, 10",,Mertens,1832,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-22-0027
Spp-22-0029,Hoploplana grubei,Animalia,Platyhelminthes,,Rhabditophora,,,,Polycladida,Acotylea,,,,,,Hoploplanidae,,,,Hoploplana,,grubei,,,"Graff,",planktonic; coastal surface and epipelagic; epibiotic,"Northwest Atlantic, Caribbean, Indian",0,0,A1; B1; C1; D1; E1; F1; G1; H1,"Hooge, M. D. and L. J. Newman. 2009. Turbellarians (Acoelomorpha and Free-Living Platyhelminthes) of the Gulf of Mexico, Pp. 413–418 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","3, 7",,Graff,1892,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-22-0029
Spp-22-0030,Hoploplana inquilina,Animalia,Platyhelminthes,,Rhabditophora,,,,Polycladida,Acotylea,,,,,,Hoploplanidae,,,,Hoploplana,,inquilina,,,"Wheeler,",benthic; beach and shoreline; symbiotic,Northwest Atlantic,0,2,A1; B1,"Hooge, M. D. and L. J. Newman. 2009. Turbellarians (Acoelomorpha and Free-Living Platyhelminthes) of the Gulf of Mexico, Pp. 413–418 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","4, 5, 7, 17",,Wheeler,1894,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-22-0030
Spp-22-0032,Latocestus whartoni,Animalia,Platyhelminthes,,Rhabditophora,,,,Polycladida,Acotylea,,,,,,Latocestidae,,,,Latocestus,,whartoni,,,"Pearse,",benthic; beach and shoreline,"Florida, North Carolina",0,3,A1; B1,"Hooge, M. D. and L. J. Newman. 2009. Turbellarians (Acoelomorpha and Free-Living Platyhelminthes) of the Gulf of Mexico, Pp. 413–418 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","4, 7, 10, 17",,Pearse,1938,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-22-0032
