Species number,Scientific name,Kingdom,Phylum,Subphylum,Class,Subclass,Infraclass,Superorder,Order,Suborder,Infraorder,Section,Subsection,Superfamily,Above family,Family,Subfamily,Tribe,Supergenus,Genus,Subgenus,Species,Subspecies,Synonyms,Scientific name author,Habitat-Biology,Overall geographic range,Min depth (m),Max depth (m),Polygon,Source,References,Endnotes,Author,Year,Changes from the book,URL
Spp-11-0001,Plakina versatilis,Animalia,Porifera,,Demospongiae,,,,Homosclerophorida,,,,,,,Plakinidae,,,,Plakina,,versatilis,,,Schmidt,hard substrate; endemic to Gulf of Mexico?,Endemic solely to Gulf of Mexico?,,,,"Rützler, K., R. W. M. van Soest, and C. Piantoni. 2009. Sponges (Porifera) of the Gulf of Mexico, Pp. 285–313 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",44,1,Schmidt,1880,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-11-0001
Spp-11-0002,Plakortis angulospiculatus,Animalia,Porifera,,Demospongiae,,,,Homosclerophorida,,,,,,,Plakinidae,,,,Plakortis,,angulospiculatus,,,Carter,hard substrate; rocky intertidal,Caribbean,26,26,C2; H2,"Rützler, K., R. W. M. van Soest, and C. Piantoni. 2009. Sponges (Porifera) of the Gulf of Mexico, Pp. 285–313 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","29, 52, 55",2,Carter,1879,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-11-0002
Spp-11-0003,Samus anonymus,Animalia,Porifera,,Demospongiae,,,,Spirophorida,,,,,,,Samidae,,,,Samus,,anonymus,,,Gray,burrower or borer; coral reef,"Indo-Pacific, Mediterranean, West Africa, Caribbean, Brazil",17,17,C2,"Rützler, K., R. W. M. van Soest, and C. Piantoni. 2009. Sponges (Porifera) of the Gulf of Mexico, Pp. 285–313 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",29,,Gray,1867,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-11-0003
Spp-11-0004,Cinachyrella alloclada,Animalia,Porifera,,Demospongiae,,,,Spirophorida,,,,,,,Tetillidae,,,,Cinachyrella,,alloclada,,,Uliczka,"coral reef; hard substrate; soft substrate (muds, sands, clays)",North Carolina to Caribbean,3,80,A1; A2; A3; B1; B2; B3; C1; C2; C3,"Rützler, K., R. W. M. van Soest, and C. Piantoni. 2009. Sponges (Porifera) of the Gulf of Mexico, Pp. 285–313 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","29, 30, 31, 33, 37, 52, 53, 54",3,Uliczka,1929,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-11-0004
Spp-11-0005,Cinachyrella apion,Animalia,Porifera,,Demospongiae,,,,Spirophorida,,,,,,,Tetillidae,,,,Cinachyrella,,apion,,,Uliczka,bay and nearshore; mangrove swamp,"Florida, Caribbean",1,2,A1; B1,"Rützler, K., R. W. M. van Soest, and C. Piantoni. 2009. Sponges (Porifera) of the Gulf of Mexico, Pp. 285–313 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","31, 37",4,Uliczka,1929,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-11-0005
Spp-11-0006,Cinachyrella arenosa,Animalia,Porifera,,Demospongiae,,,,Spirophorida,,,,,,,Tetillidae,,,,Cinachyrella,,arenosa,,,van Soest and Stentoft,hard substrate,"Georgia, Caribbean, Brazil",17,153,A2; A3; B2; B3; C2; C3,"Rützler, K., R. W. M. van Soest, and C. Piantoni. 2009. Sponges (Porifera) of the Gulf of Mexico, Pp. 285–313 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",37,,van Soest & Stentoft,1988,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-11-0006
Spp-11-0007,Cinachyrella kuekenthali,Animalia,Porifera,,Demospongiae,,,,Spirophorida,,,,,,,Tetillidae,,,,Cinachyrella,,kuekenthali,,,Uliczka,coral reef; hard substrate,"Caribbean, Brazil",4,100,A1; A2; A3; B1; B2; B3; C1; C2; C3,"Rützler, K., R. W. M. van Soest, and C. Piantoni. 2009. Sponges (Porifera) of the Gulf of Mexico, Pp. 285–313 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",unpubl. 37,"5, 6",Uliczka,1929,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-11-0007
Spp-11-0008,Craniella cranium,Animalia,Porifera,,Demospongiae,,,,Spirophorida,,,,,,,Tetillidae,,,,Craniella,,cranium,,,Müller,epibiotic; hard substrate,Mediterranean,1,6,B1; B2,"Rützler, K., R. W. M. van Soest, and C. Piantoni. 2009. Sponges (Porifera) of the Gulf of Mexico, Pp. 285–313 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",31,7,Müller,1776,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-11-0008
Spp-11-0009,Craniella insidiosa,Animalia,Porifera,,Demospongiae,,,,Spirophorida,,,,,,,Tetillidae,,,,Craniella,,insidiosa,,,Schmidt,unknown habitat/biology; endemic to Gulf of Mexico?,Endemic solely to Gulf of Mexico?,31,31,A2; B2; C2,"Rützler, K., R. W. M. van Soest, and C. Piantoni. 2009. Sponges (Porifera) of the Gulf of Mexico, Pp. 285–313 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",42,,Schmidt,1870,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-11-0009
Spp-11-0010,Craniella lens,Animalia,Porifera,,Demospongiae,,,,Spirophorida,,,,,,,Tetillidae,,,,Craniella,,lens,,,Schmidt,deep sea; endemic to Gulf of Mexico?,Endemic solely to Gulf of Mexico?,243,274,A4; B4; C4,"Rützler, K., R. W. M. van Soest, and C. Piantoni. 2009. Sponges (Porifera) of the Gulf of Mexico, Pp. 285–313 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",42,,Schmidt,1870,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-11-0010
