Species number,Scientific name,Kingdom,Phylum,Subphylum,Class,Subclass,Infraclass,Superorder,Order,Suborder,Infraorder,Section,Subsection,Superfamily,Above family,Family,Subfamily,Tribe,Supergenus,Genus,Subgenus,Species,Subspecies,Synonyms,Scientific name author,Habitat-Biology,Overall geographic range,Min depth (m),Max depth (m),Polygon,Source,References,Endnotes,Author,Year,Changes from the book,URL
Spp-41-0001,Siphonomecus multicinctus,Animalia,Sipuncula,,Sipunculidea,,,,Sipunculiformes,,,,,,,Sipunculidae,,,,Siphonomecus,,multicinctus,,,"Fisher,",burrower or borer; infaunal; soft substrate (mud; sand; clays),South Carolina to Florida,2,4,A1; B1; C1; D1,"Rice, M. E. 2009. Sipuncula of the Gulf of Mexico, Pp. 803–807 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","6 ,9",,Fisher,1947,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-41-0001
Spp-41-0002,Siphonosoma cumanense,Animalia,Sipuncula,,Sipunculidea,,,,Sipunculiformes,,,,,,,Sipunculidae,,,,Siphonosoma,,cumanense,,,"Keferstein,",burrower or borer; infaunal; soft substrate (mud; sand; clays),"W Atlantic, Pacific, Indian Ocean",1,37,A1; A2; B1; B2; C1; C2; D1; D2,"Rice, M. E. 2009. Sipuncula of the Gulf of Mexico, Pp. 803–807 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","9, 13",,Keferstein,1867,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-41-0002
Spp-41-0003,Sipunculus nudus,Animalia,Sipuncula,,Sipunculidea,,,,Sipunculiformes,,,,,,,Sipunculidae,,,,Sipunculus,,nudus,,,"Linnaeus,",burrower or borer; infaunal; soft substrate (mud; sand; clays),cosmopolitan: temperate to tropics,1,54,A1; A2; B1; B2; C1; C2; D1; D2,"Rice, M. E. 2009. Sipuncula of the Gulf of Mexico, Pp. 803–807 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","6, 9, 13",,Linnaeus,1766,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-41-0003
Spp-41-0004,Sipunculus polymyotus,Animalia,Sipuncula,,Sipunculidea,,,,Sipunculiformes,,,,,,,Sipunculidae,,,,Sipunculus,,polymyotus,,,"Fisher,",burrower or borer; infaunal; soft substrate (mud; sand; clays),"South Carolina to Brazil, Baja California to Panama",3,17,A1; A2; B1; B2; C1; C2; D1; D2,"Rice, M. E. 2009. Sipuncula of the Gulf of Mexico, Pp. 803–807 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","6, 9",,Fisher,1947,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-41-0004
Spp-41-0005,Xenosiphon branchiatus,Animalia,Sipuncula,,Sipunculidea,,,,Sipunculiformes,,,,,,,Sipunculidae,,,,Xenosiphon,,branchiatus,,,"Fischer,",burrower or borer; infaunal; soft substrate (mud; sand; clays),"California to Ecuador, Caribbean, Florida",2,2,A1; B1,"Rice, M. E. 2009. Sipuncula of the Gulf of Mexico, Pp. 803–807 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",3,,Fischer,1895,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-41-0005
Spp-41-0006,Golfingia elongata,Animalia,Sipuncula,,Sipunculidea,,,,Golfingiiformes,,,,,,,Golfingiidae,,,,Golfingia,,elongata,,,"Keferstein,",infaunal; soft substrate (mud; sand; clays),"NE and Northwestern Atlantic, E and S China Seas, Vietnam",7,7,C2; D2,"Rice, M. E. 2009. Sipuncula of the Gulf of Mexico, Pp. 803–807 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","9, 13",,Keferstein,1862,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-41-0006
Spp-41-0007,Nephasoma flagriferum,Animalia,Sipuncula,,Sipunculidea,,,,Golfingiiformes,,,,,,,Golfingiidae,,,,Nephasoma,,flagriferum,,,"Selenka,",deep sea,"N and S Atlantic, Pacific",2432,2468,A5; B5,"Rice, M. E. 2009. Sipuncula of the Gulf of Mexico, Pp. 803–807 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",,1,Selenka,1885,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-41-0007
Spp-41-0008,Nephasoma pellucidum,Animalia,Sipuncula,,Sipunculidea,,,,Golfingiiformes,,,,,,,Golfingiidae,,,,Nephasoma,,pellucidum,,,"Keferstein,",infaunal; soft substrate (mud; sand; clays),"Florida, Caribbean, Brazil, Indonesia, Australia, S. Japan",4,4,C1; D1,"Rice, M. E. 2009. Sipuncula of the Gulf of Mexico, Pp. 803–807 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","9, 14",2,Keferstein,1865,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-41-0008
Spp-41-0009,Thysanocardia catharinae,Animalia,Sipuncula,,Sipunculidea,,,,Golfingiiformes,,,,,,,Golfingiidae,,,,Thysanocardia,,catharinae,,,"Grube,",deep sea,"Northwestern and S Atlantic, Coast of E Africa and Peru",964,1170,A4; A5; B4; B5,"Rice, M. E. 2009. Sipuncula of the Gulf of Mexico, Pp. 803–807 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",,3,Grube,1868,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-41-0009
Spp-41-0010,Phascolion caupo,Animalia,Sipuncula,,Sipunculidea,,,,Golfingiiformes,,,,,,,Phascolionidae,,,,Phascolion,,caupo,,,"Hendrix,",infaunal; soft substrate (mud; sand; clays); shell,SE Coast of U.S.,0,1,C1; D1,"Rice, M. E. 2009. Sipuncula of the Gulf of Mexico, Pp. 803–807 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",10,,Hendrix,1975,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-41-0010
Spp-41-0011,Phascolion cryptum,Animalia,Sipuncula,,Sipunculidea,,,,Golfingiiformes,,,,,,,Phascolionidae,,,,Phascolion,,cryptum,,,"Hendrix,",infaunal; soft substrate (mud; sand; clays); shell,SE Coast of U.S.,0,2,C1; D1,"Rice, M. E. 2009. Sipuncula of the Gulf of Mexico, Pp. 803–807 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",,4,Hendrix,1975,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-41-0011
Spp-41-0012,Themiste alutacea,Animalia,Sipuncula,,Sipunculidea,,,,Golfingiiformes,,,,,,,Themistidae,,,,Themiste,,alutacea,,,"Grube and Oersted,",burrower or borer; hard substrate,"W Atlantic, North Carolina to Argentina",0,10,C1; C2; D1; D2,"Rice, M. E. 2009. Sipuncula of the Gulf of Mexico, Pp. 803–807 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","7, 9, 14, 16",5,Grube & Oersted,1858,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-41-0012
Spp-41-0013,Themiste lageniformis,Animalia,Sipuncula,,Sipunculidea,,,,Golfingiiformes,,,,,,,Themistidae,,,,Themiste,,lageniformis,,,"Baird,",burrower or borer; hard substrate; oyster reef,"W Pacific, Japan, Hawaii, Australia, Indian Ocean, South Africa, Cuba, Florida",0,0,C1; D1,"Rice, M. E. 2009. Sipuncula of the Gulf of Mexico, Pp. 803–807 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",,6,Baird,1868,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-41-0013
Spp-41-0014,Antillesoma antillarum,Animalia,Sipuncula,,Phascolosomatidea,,,,Phascolosomatiformes,,,,,,,Phascolosomatidae,,,,Antillesoma,,antillarum,,,"Grube and Oersted,",burrower or borer; hard substrate,"cosmopolitan, subtropic, tropics",0,0,C1; D1,"Rice, M. E. 2009. Sipuncula of the Gulf of Mexico, Pp. 803–807 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","7, 9, 16",7,Grube & Oersted,1858,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-41-0014
