Species number,Scientific name,Kingdom,Phylum,Subphylum,Class,Subclass,Infraclass,Superorder,Order,Suborder,Infraorder,Section,Subsection,Superfamily,Above family,Family,Subfamily,Tribe,Supergenus,Genus,Subgenus,Species,Subspecies,Synonyms,Scientific name author,Habitat-Biology,Overall geographic range,Min depth (m),Max depth (m),Polygon,Source,References,Endnotes,Author,Year,Changes from the book,URL
Spp-42-0001,Batillipes dicrocercus,Animalia,Tardigrada,,Heterotardigrada,,,,Arthrotardigrada,,,,,,,Batilipedidae,,,,Batillipes,,dicrocercus,,,"Pollock,",interstitial; beach and shoreline; sand,"northeastern U.S. and Atlantic Canada, southeastern U.S. and the Bahamas, Mediterranean Sea",0,2,A1; B1,"Romano III, F. A. 2009. Tardigrada of the Gulf of Mexico, Pp. 809–813 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",17,,Pollock,1970,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-42-0001
Spp-42-0002,Batillipes friaufi,Animalia,Tardigrada,,Heterotardigrada,,,,Arthrotardigrada,,,,,,,Batilipedidae,,,,Batillipes,,friaufi,,,"Riggin,",interstitial; bay and nearshore; beach and shoreline; sand,only known from the Gulf of Mexico,0,2,A1,"Romano III, F. A. 2009. Tardigrada of the Gulf of Mexico, Pp. 809–813 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",35,,Riggin,1962,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-42-0002
Spp-42-0003,Batillipes mirus,Animalia,Tardigrada,,Heterotardigrada,,,,Arthrotardigrada,,,,,,,Batilipedidae,,,,Batillipes,,mirus,,,"Richters,",interstitial; beach and shoreline; sand,"northeastern U.S. and Atlantic Canada, southeastern U.S. and the Bahamas, eastern Atlantic, Indian Ocean, eastern Pacific",0,10,A1; A2; B1; B2,"Romano III, F. A. 2009. Tardigrada of the Gulf of Mexico, Pp. 809–813 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",13,,Richters,1909,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-42-0003
Spp-42-0004,Batilipes tubernatis,Animalia,Tardigrada,,Heterotardigrada,,,,Arthrotardigrada,,,,,,,Batilipedidae,,,,Batilipes,,tubernatis,,,"Pollock,",interstitial; bay and nearshore; beach and shoreline; sand,"Southeastern U.S. and the Bahamas, eastern Atlantic, Atlantic coast of South America",0,2,A1; B1,"Romano III, F. A. 2009. Tardigrada of the Gulf of Mexico, Pp. 809–813 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",17,,Pollock,1971,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-42-0004
Spp-42-0005,Coronarctus laubieri,Animalia,Tardigrada,,Heterotardigrada,,,,Arthrotardigrada,,,,,,,Halechiniscidae,Coronarctinae,,,Coronarctus,,laubieri,,,"Renaud-Mornant,","interstitial; deep sea; soft substrate (muds, sands, clays)","eastern Atlantic, Mediterranean Sea, Indian Ocean",1975,6150,G5; G6; H5; H6,"Romano III, F. A. 2009. Tardigrada of the Gulf of Mexico, Pp. 809–813 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","36, 37",,Renaud-Mornant,1987,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-42-0005
Spp-42-0006,Coronacrtus n.sp.,Animalia,Tardigrada,,Heterotardigrada,,,,Arthrotardigrada,,,,,,,Halechiniscidae,Coronarctinae,,,Coronacrtus,,n.sp.,,,,"interstitial; deep sea; soft substrate (muds, sands, clays)",only known from the Gulf of Mexico,763,3000,A4; A5; G4; G5; H4; H5,"Romano III, F. A. 2009. Tardigrada of the Gulf of Mexico, Pp. 809–813 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","36, 37",,,,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-42-0006
Spp-42-0007,Coronarctus stylisetus,Animalia,Tardigrada,,Heterotardigrada,,,,Arthrotardigrada,,,,,,,Halechiniscidae,Coronarctinae,,,Coronarctus,,stylisetus,,,"Renaud-Mornant,","interstitial; deep sea; soft substrate (muds, sands, clays)","eastern Atlantic, Mediterranean Sea, Indian Ocean",3000,3000,H5,"Romano III, F. A. 2009. Tardigrada of the Gulf of Mexico, Pp. 809–813 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","36, 37",,Renaud-Mornant,1987,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-42-0007
Spp-42-0008,Euclavarctus convergens,Animalia,Tardigrada,,Heterotardigrada,,,,Arthrotardigrada,,,,,,,Halechiniscidae,Euclavarctinae,,,Euclavarctus,,convergens,,,"Renaud-Mornant,","interstitial; deep sea; soft substrate (muds, sands, clays)","eastern Atlantic, Indian Ocean",2743,2743,A5; B5,"Romano III, F. A. 2009. Tardigrada of the Gulf of Mexico, Pp. 809–813 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","36, 37",,Renaud-Mornant,1983,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-42-0008
Spp-42-0009,Euclavarctus thieli,Animalia,Tardigrada,,Heterotardigrada,,,,Arthrotardigrada,,,,,,,Halechiniscidae,Euclavarctinae,,,Euclavarctus,,thieli,,,"Renaud-Mornant,","interstitial; deep sea; soft substrate (muds, sands, clays)","eastern Atlantic, Indian Ocean, South Pacific",2635,2635,H5,"Romano III, F. A. 2009. Tardigrada of the Gulf of Mexico, Pp. 809–813 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","36, 37",,Renaud-Mornant,1975,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-42-0009
Spp-42-0010,Proclavarctus sp.,Animalia,Tardigrada,,Heterotardigrada,,,,Arthrotardigrada,,,,,,,Halechiniscidae,Euclavarctinae,,,Proclavarctus,,sp.,,,,"interstitial; deep sea; soft substrate (muds, sands, clays)",,2600,2600,H5,"Romano III, F. A. 2009. Tardigrada of the Gulf of Mexico, Pp. 809–813 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","36, 37",1,,,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-42-0010
