eop_scientificname_verbatim,scientificname_verbatim,type_locality,habitat,notes
Abarenicola claparedi subsp. oceanica,Abarenicola claparedi oceanica,,,
Abarenicola claparedi subsp. vagabunda,Abarenicola claparedi vagabunda,,,
Abarenicola pacifica,Abarenicola pacifica,,,
Abietinaria anguina,Abietinaria anguina,,,
Abietinaria filicula,Abietinaria filicula,,,
Abietinaria pulchra,Abietinaria pulchra,,,
Abietinaria variabilis,Abietinaria variabilis,,,
Abietinaria spp.,Abietinaria,,,
Abra profundorum,Abra profundorum,,,
Abraliopsis felis,Abraliopsis felis,,,
Abyssocucumis albatrossi,Abyssocucumis albatrossi,,deep,
Acanella sp.,Acanella,,,
Acanthamunnopsis milleri,Acanthamunnopsis milleri,,,
Acanthascus platei,Acanthascus platei,,,
Acanthina spirata,Acanthina spirata,,,
Acanthephyra curtirostris,Acanthephyra curtirostris,,,
Acanthodoris armata,Acanthodoris armata,,,
Acanthodoris atrogriseata,Acanthodoris atrogriseata,,,
Acanthodoris brunnea,Acanthodoris brunnea,,,
Acanthodoris hudsoni,Acanthodoris hudsoni,,,
Acanthodoris nanaimoensis,Acanthodoris nanaimoensis,,,
Acanthodoris pilosa,Acanthodoris pilosa,,,
Acantholithodes hispidus,Acantholithodes hispidus,,,
Telacanthomysis columbiae,Telacanthomysis columbiae,,,
Acarnus erithacus,Acarnus erithacus,,,
Accedomoera,Accedomoera,,,
Accedomoera vagor,Accedomoera vagor,,,
Acerotisa alba,Acerotisa alba,,,
Acetabulosoma kozloffi,Acetabulosoma kozloffi,,,
Acharax johnsoni,Acharax johnsoni,,deep,
Achelia alaskensis,Achelia alaskensis,,,
Achelia chelata,Achelia chelata,,,
Achelia discoidea,Achelia discoidea,,,
Achelia echinata,Achelia echinata,,,
Achelia gracilipes,Achelia gracilipes,,,
Achelia latifrons,Achelia latifrons,,,
Acidostoma sp.,Acidostoma,,,
Acila castrensis,Acila castrensis,,,
Acmaea mitra,Acmaea mitra,,,
Acrocirrus columbianus,Acrocirrus columbianus,,,
Acrocirrus heterochaetus,Acrocirrus heterochaetus,,,
Acrocirrus occipitalis,Acrocirrus occipitalis,,,
Adalaria sp.,Adalaria,,,
Admete californica,Admete californica,,deep,
Admete gracilior,Admete gracilior,,,
Adocia gellindra,Adocia gellindra,,,
Adocia spp.,Adocia,,,
Adula californiensis,Adula californiensis,,,
Adula diegensis,Adula diegensis,,,
Adula falcata,Adula gruneri,,,syn from WoRMS
Aega symmetrica,Aega symmetrica,,,in ITIS not in WoRMS
Aegina citrea,Aegina citrea,,,
Aegires albopunctatus,Aegires albopunctatus,,,
Aeolidia papillosa,Aeolidia papillosa,,,
Aequorea victoria,Aequorea victoria,,,
Aeropsis fulva,Aeropsis fulva,,deep,
Aetea spp.,Aetea,,,
Aforia circinata,Aforia circinata,,,
Aglaja ocelligera,Aglaja ocelligera,,,
Aglantha digitale,Aglantha digitale,,,
Aglaophamus rubella subsp. anops,Aglaophamus rubella anops,,,
Aglaophenia latirostris,Aglaophenia latirostris,,,
Aglaophenia struthionides,Aglaophenia struthionides,,,
Aglaophenia spp.,Aglaophenia,,,
Entodesma saxicola,Entodesma saxicola,,,
Aktedrilus oregonensis,Aktedrilus oregonensis,,,
Alciopa reynaudii,Alciopa reynaudii,,,
Alcyonidium pedunculatum,Alcyonidium pedunculatum,,,
Alcyonidium polyoum,Alcyonidium polyoum,,,
Alcyonium sp.,Alcyonium,,,
Alderia modesta,Alderia modesta,,,
Alderina brevispina,Alderina brevispina,,,
Aldisa albomarginata,Aldisa albomarginata,,,
