taxon_level,taxon_rank
Acanthocephala,phylum
Brachiopoda,phylum
Cephalorhyncha,phylum
Cycliophora,phylum
Dicyemida,phylum
Hemichordata,phylum
Orthonectida,phylum
Platyhelminthes,phylum
Xenacoelomorpha,phylum
Polychaeta,class
Porifera,phylum
Entoprocta,phylum
Bryozoa,phylum
Gnathostomulida,phylum
Decapoda,order
Echinodermata,phylum
Nemertea,phylum
Phoronida,phylum
Ctenophora,phylum
Chaetognatha,phylum
Cnidaria,phylum
Mollusca,phylum
Rotifera,phylum
Echiura,phylum
Sipuncula,phylum
Tardigrada,phylum
Pycnogonida,class
Cephalocarida,class
Mystacocarida,class
Sessilia,order
Pedunculata,order
Maxillopoda,class
Copepoda,class
Ostracoda,class
Leptostraca,class
Stomatopoda,order
Lophogastrida,order
Mysida,order
Mysidacea,order
Amphipoda,order
Isopoda,order
Tanaidacea,order
Cumacea,order
Euphausiacea,order
Gastrotricha,phylum
Nematoda,phylum
Priapulida,phylum
Kinorhyncha,phylum
Cephalochordata,phylum
Ascidiacea,class
Appendicularia,class
Thaliacea,class
