"phylum","common_phylum","kingdom"
"acanthocephala","acanthocephala","animalia"
"acidobacteria","to_drop","bacteria"
"actinobacteria","to_drop","bacteria"
"algae","to_drop","plantae"
"amoebozoa","to_drop","protozoa"
"angiosperm","to_drop","plantae"
"angiosperma","to_drop","plantae"
"angiospermae","to_drop","plantae"
"annelida","annelida","animalia"
"annelida†","to_drop","animalia"
"anthocerotophyta","to_drop","animalia"
"apicomplexa","to_drop","protozoa"
"aquificae","to_drop","bacteria"
"arthropoda","arthropoda","animalia"
"arthrpoda","arthropoda","animalia"
"ascomycota","to_drop","fungi"
"bacillariophyta","to_drop","plantae"
"bacteria incertae sedis","to_drop","bacteria"
"bacteroidetes","to_drop","bacteria"
"basidiomycota","to_drop","fungi"
"bigyra","to_drop","chromista"
"blastocladiomycota","to_drop","fungi"
"brachiopoda","brachiopoda","animalia"
"bryophyta","to_drop","plantae"
"bryozoa","bryozoa","animalia"
"cephalorhyncha","cephalorhyncha","animalia"
"cercozoa","to_drop","chromista"
"chaetognatha","chaetognatha","animalia"
"charophyta","to_drop","plantae"
"chateognatha","chaetognatha","animalia"
"chlamydiae","to_drop","bacteria"
"chlorobi","to_drop","bacteria"
"chloroflexi","to_drop","bacteria"
"chlorophyta","to_drop","plantae"
"choanozoa","to_drop","protozoa"
"chordata","chordata","animalia"
"chordata (urochordata)","chordata","animalia"
"chordates","chordata","animalia"
"chrodata","chordata","animalia"
"chytridiomycota","to_drop","fungi"
"ciliophora","to_drop","chromista"
"cladocera","arthropoda","animalia"
"cnidaria","cnidaria","animalia"
"coelenterata","to_drop","animalia"
"coniferophyta","to_drop","plantae"
"craniata","to_drop","animalia"
"crenarchaeota","to_drop","archae"
"crustacea","arthropoda","animalia"
"cryptophyta","to_drop","chromista"
"ctenophora","ctenophora","animalia"
"cyanobacteria","to_drop","bacteria"
"cyanophyta","to_drop","bacteria"
"cycadophyta","to_drop","plantae"
"deferribacteres","to_drop","bacteria"
"deinococcus-thermus","to_drop","bacteria"
"diatoms","to_drop","chromista"
"dicots","to_drop","plantae"
"dicotyledon","to_drop","plantae"
"dicotyledoneae","to_drop","plantae"
"dicotyledones","to_drop","plantae"
"dicyemida","mesozoa","animalia"
"dinoflagellata","to_drop","chromista"
"dinophyta","to_drop","chromista"
"discomitochondria","to_drop","protozoa"
"echinodermata","echinodermata","animalia"
"echiura","annelida","animalia"
"ectoprocta","bryozoa","animalia"
"elusimicrobia","to_drop","bacteria"
"embryophyta","to_drop","plantae"
"entoprocta","entoprocta","animalia"
"equisetophyta","to_drop","plantae"
"eubranchipus","to_drop","animalia"
"eubranchipus vernalis","to_drop","animalia"
"euglenozoa","to_drop","protozoa"
"euryarchaeota","to_drop","archae"
"ferns and fern allies","to_drop","plantae"
"fibrobacteres","to_drop","bacteria"
"firmicutes","to_drop","bacteria"
"flowering plants","to_drop","plantae"
"foraminifera","to_drop","chromista"
"fungi","to_drop","fungi"
"fungi incertae sedis","to_drop","fungi"
"fusobacteria","to_drop","bacteria"
"gastrotricha","gastrotricha","animalia"
"gemmatimonadetes","to_drop","bacteria"
"ginkgophyta","to_drop","plantae"
"glaucophyta","to_drop","plantae"
"glomeromycota","to_drop","fungi"
"gnathostomulida","gnathostomulida","animalia"
"gnetophyta","to_drop","plantae"
"granuloreticulosa","to_drop","chromista"
"gymnosperms","to_drop","plantae"
"haptophyta","to_drop","chromista"
"heliozoa","to_drop","chromista"
"hemichordata","hemichordata","animalia"
